"Age At Admission","Count","Col%","Row%","Count","Col%","Row%","Total","Col%"
"13","1","0.01%","100.0%","","","","1","0.01%"
"14","4","0.01%","100.0%","","","","4","0.01%"
"15","22","0.04%","100.0%","","","","22","0.04%"
"16","75","0.15%","97.4%","2","0.05%","2.6%","77","0.14%"
"17","350","0.71%","94.09%","22","0.55%","5.91%","372","0.69%"
"18","1,026","2.07%","96.98%","32","0.8%","3.02%","1,058","1.97%"
"19","1,408","2.84%","96.31%","54","1.35%","3.69%","1,462","2.73%"
"20","1,687","3.4%","96.18%","67","1.67%","3.82%","1,754","3.27%"
"21","1,682","3.39%","95.73%","75","1.87%","4.27%","1,757","3.28%"
"22","1,769","3.57%","94.05%","112","2.79%","5.95%","1,881","3.51%"
"23","1,722","3.47%","94.05%","109","2.72%","5.95%","1,831","3.42%"
"24","1,696","3.42%","92.88%","130","3.24%","7.12%","1,826","3.41%"
"25","1,654","3.34%","93.29%","119","2.97%","6.71%","1,773","3.31%"
"26","1,623","3.27%","93.17%","119","2.97%","6.83%","1,742","3.25%"
"27","1,569","3.17%","92.68%","124","3.09%","7.32%","1,693","3.16%"
"28","1,563","3.15%","92.7%","123","3.07%","7.3%","1,686","3.15%"
"29","1,584","3.2%","91.93%","139","3.47%","8.07%","1,723","3.22%"
"30","1,522","3.07%","91.96%","133","3.32%","8.04%","1,655","3.09%"
"31","1,546","3.12%","91.91%","136","3.39%","8.09%","1,682","3.14%"
"32","1,536","3.1%","89.88%","173","4.32%","10.12%","1,709","3.19%"
"33","1,561","3.15%","90.97%","155","3.87%","9.03%","1,716","3.2%"
"34","1,539","3.11%","91.39%","145","3.62%","8.61%","1,684","3.14%"
"35","1,510","3.05%","91.57%","139","3.47%","8.43%","1,649","3.08%"
"36","1,414","2.85%","90.99%","140","3.49%","9.01%","1,554","2.9%"
"37","1,356","2.74%","89.33%","162","4.04%","10.67%","1,518","2.83%"
"38","1,338","2.7%","92.34%","111","2.77%","7.66%","1,449","2.7%"
"39","1,268","2.56%","90.77%","129","3.22%","9.23%","1,397","2.61%"
"40","1,192","2.41%","91.34%","113","2.82%","8.66%","1,305","2.44%"
