"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","434","0.98%","93.33%","31","0.97%","6.67%","465","0.98%"
"1.1 - 2","590","1.33%","91.33%","56","1.75%","8.67%","646","1.36%"
"2.1 - 3","861","1.94%","90.16%","94","2.94%","9.84%","955","2.00%"
"3.1 - 4","748","1.68%","91.67%","68","2.13%","8.33%","816","1.71%"
"4.1 - 5","1,393","3.13%","88.95%","173","5.41%","11.05%","1,566","3.29%"
"5.1 - 6","850","1.91%","91.20%","82","2.56%","8.80%","932","1.96%"
"6.1 - 7","820","1.84%","91.31%","78","2.44%","8.69%","898","1.88%"
"7.1 - 8","969","2.18%","90.73%","99","3.10%","9.27%","1,068","2.24%"
"8.1 - 9","1,055","2.37%","94.45%","62","1.94%","5.55%","1,117","2.34%"
"9.1 - 10","2,505","5.63%","89.95%","280","8.76%","10.05%","2,785","5.84%"
"10.1 - 12","1,672","3.76%","91.67%","152","4.75%","8.33%","1,824","3.83%"
"12.1 - 15","3,851","8.66%","92.53%","311","9.72%","7.47%","4,162","8.73%"
"15.1 - 20","8,226","18.50%","93.19%","601","18.79%","6.81%","8,827","18.52%"
"20.1 - Over","11,531","25.94%","94.48%","674","21.08%","5.52%","12,205","25.61%"
"Life","7,209","16.22%","95.06%","375","11.73%","4.94%","7,584","15.91%"
"Life Without Parole","1,686","3.79%","96.62%","59","1.84%","3.38%","1,745","3.66%"
"Death","37","0.08%","97.37%","1","0.03%","2.63%","38","0.08%"
"Youthful Offenders","20","0.04%","90.91%","2","0.06%","9.09%","22","0.05%"
"Total Reported","44,457","100%","93.29%","3,198","100%","6.71%","47,655","100%"
