"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","322","0.73%","93.60%","22","0.67%","6.40%","344","0.72%"
"Twenties (20-29)","9,731","21.94%","93.34%","694","21.23%","6.66%","10,425","21.89%"
"Thirties (30-39)","13,881","31.30%","92.11%","1,189","36.37%","7.89%","15,070","31.65%"
"Forties (40-49)","10,283","23.19%","92.65%","816","24.96%","7.35%","11,099","23.31%"
"Fifties (50-59)","6,371","14.36%","94.22%","391","11.96%","5.78%","6,762","14.20%"
"Sixties (60-69)","2,992","6.75%","95.59%","138","4.22%","4.41%","3,130","6.57%"
"Seventy + (70 and above)","771","1.74%","97.59%","19","0.58%","2.41%","790","1.66%"
"Total Reported","44,351","100%","93.14%","3,269","100%","6.86%","47,620","100%"
"Not Reported","375","","","2","","","377",""
"Grand Total","44,726","","","3,271","","","47,997",""
