"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","439","0.91%","94.21%","27","0.70%","5.79%","466","0.89%"
"1.1 - 2","538","1.11%","91.81%","48","1.24%","8.19%","586","1.12%"
"2.1 - 3","800","1.66%","86.86%","121","3.12%","13.14%","921","1.76%"
"3.1 - 4","715","1.48%","89.04%","88","2.27%","10.96%","803","1.54%"
"4.1 - 5","1,483","3.07%","90.59%","154","3.97%","9.41%","1,637","3.14%"
"5.1 - 6","806","1.67%","88.18%","108","2.78%","11.82%","914","1.75%"
"6.1 - 7","820","1.70%","90.81%","83","2.14%","9.19%","903","1.73%"
"7.1 - 8","953","1.97%","91.90%","84","2.16%","8.10%","1,037","1.99%"
"8.1 - 9","1,121","2.32%","92.42%","92","2.37%","7.58%","1,213","2.32%"
"9.1 - 10","2,891","5.98%","88.98%","358","9.22%","11.02%","3,249","6.22%"
"10.1 - 12","1,777","3.68%","92.17%","151","3.89%","7.83%","1,928","3.69%"
"12.1 - 15","4,255","8.80%","91.27%","407","10.48%","8.73%","4,662","8.93%"
"15.1 - 20","8,842","18.30%","92.11%","757","19.50%","7.89%","9,599","18.39%"
"20.1 - Over","13,129","27.17%","93.61%","896","23.08%","6.39%","14,025","26.86%"
"Life","7,564","15.65%","94.67%","426","10.97%","5.33%","7,990","15.30%"
"Life Without Parole","2,123","4.39%","96.37%","80","2.06%","3.63%","2,203","4.22%"
"Death","33","0.07%","97.06%","1","0.03%","2.94%","34","0.07%"
"Youthful Offenders","40","0.08%","97.56%","1","0.03%","2.44%","41","0.08%"
"Total Reported","48,329","100%","92.56%","3,882","100.0%","7.44%","52,211","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","48,329","","","3,882","","","52,211",""
