"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","17,421","34.11%","88.31%","2,307","58.55%","11.69%","19,728","35.86%"
"Black","31,361","61.40%","95.29%","1,550","39.34%","4.71%","32,911","59.82%"
"Other","55",".11%","90.16%","6",".15%","9.84%","61",".11%"
"Asian","177",".35%","94.15%","11",".28%","5.85%","188",".34%"
"Unknown","8",".02%","80.00%","2",".05%","20.00%","10",".02%"
"Hispanic","2,026","3.97%","96.98%","63","1.60%","3.02%","2,089","3.80%"
"Native American","25",".05%","96.15%","1",".03%","3.85%","26",".05%"
"Native Hawaiian","1",".01%","100.00%","0","0%","0%","1",".01%"
"Total Reported","51,074","100%","92.84%","3,940","100%","7.16%","55,014","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","51,074","","","3,940","","","55,014",""
