"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","15,868","31.89%","89.39%","1,884","52.48%","10.61%","17,752","33.28%"
"Black","31,454","63.22%","95.12%","1,615","44.99%","4.88%","33,069","62.00%"
"Other","49",".10%","90.74%","5",".14%","9.26%","54",".10%"
"Asian","124",".25%","97.64%","3",".08%","2.36%","127",".24%"
"Hispanic","2,229","4.48%","96.66%","77","2.14%","3.34%","2,306","4.32%"
"Native American","27",".05%","84.38%","5",".14%","15.63%","32",".06%"
"Native Hawaiian","0","0%","0%","1",".03%","100.00%","1",".01%"
"Total Reported","49,751","100%","93.27%","3,590","100%","6.73%","53,341","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,751","","","3,590","","","53,341",""
