"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"77
Irwin","60",".12%","95.24%","3",".08%","4.76%","63",".12%"
"78
Jackson","211",".43%","91.74%","19",".51%","8.26%","230",".43%"
"79
Jasper","61",".12%","93.85%","4",".11%","6.15%","65",".12%"
"80
Jeff Davis","85",".17%","96.59%","3",".08%","3.41%","88",".17%"
"81
Jefferson","117",".24%","96.69%","4",".11%","3.31%","121",".23%"
"82
Jenkins","75",".15%","94.94%","4",".11%","5.06%","79",".15%"
"83
Johnson","64",".13%","94.12%","4",".11%","5.88%","68",".13%"
"84
Jones","143",".29%","94.70%","8",".22%","5.30%","151",".29%"
"85
Lamar","71",".14%","92.21%","6",".16%","7.79%","77",".15%"
"86
Lanier","39",".08%","100.00%","","","","39",".07%"
"87
Laurens","310",".63%","93.37%","22",".59%","6.63%","332",".63%"
"88
Lee","89",".18%","95.70%","4",".11%","4.30%","93",".18%"
"89
Liberty","296",".60%","92.50%","24",".65%","7.50%","320",".60%"
"90
Lincoln","34",".07%","100.00%","","","","34",".06%"
"91
Long","78",".16%","90.70%","8",".22%","9.30%","86",".16%"
"92
Lowndes","536","1.09%","93.54%","37","1.00%","6.46%","573","1.08%"
"93
Lumpkin","113",".23%","91.87%","10",".27%","8.13%","123",".23%"
"94
Macon","73",".15%","93.59%","5",".13%","6.41%","78",".15%"
"95
Madison","119",".24%","89.47%","14",".38%","10.53%","133",".25%"
"96
Marion","43",".09%","95.56%","2",".05%","4.44%","45",".09%"
"97
Mcduffie","186",".38%","96.88%","6",".16%","3.13%","192",".36%"
"98
Mcintosh","64",".13%","100.00%","","","","64",".12%"
"99
Meriwether","201",".41%","94.37%","12",".32%","5.63%","213",".40%"
"100
Miller","30",".06%","96.77%","1",".03%","3.23%","31",".06%"
"101
Mitchell","186",".38%","92.08%","16",".43%","7.92%","202",".38%"
"102
Monroe","150",".30%","92.59%","12",".32%","7.41%","162",".31%"
"103
Montgomery","55",".11%","88.71%","7",".19%","11.29%","62",".12%"
"104
Morgan","143",".29%","91.08%","14",".38%","8.92%","157",".30%"
"105
Murray","230",".47%","91.27%","22",".59%","8.73%","252",".48%"
"106
Muscogee","1,762","3.58%","93.28%","127","3.42%","6.72%","1,889","3.57%"
"107
Newton","560","1.14%","87.91%","77","2.08%","12.09%","637","1.20%"
"108
Oconee","49",".10%","98.00%","1",".03%","2.00%","50",".09%"
"109
Oglethorpe","61",".12%","92.42%","5",".13%","7.58%","66",".12%"
"110
Paulding","236",".48%","91.12%","23",".62%","8.88%","259",".49%"
"111
Peach","87",".18%","97.75%","2",".05%","2.25%","89",".17%"
"112
Pickens","83",".17%","90.22%","9",".24%","9.78%","92",".17%"
"113
Pierce","63",".13%","94.03%","4",".11%","5.97%","67",".13%"
"114
Pike","58",".12%","92.06%","5",".13%","7.94%","63",".12%"
