"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Unknown","196",".39%","95.61%","9",".23%","4.39%","205",".38%"
"Appling County","104",".20%","95.41%","5",".13%","4.59%","109",".20%"
"Atkinson County","46",".09%","92.00%","4",".10%","8.00%","50",".09%"
"Bacon County","67",".13%","90.54%","7",".18%","9.46%","74",".14%"
"Baker County","10",".02%","100.00%","","","","10",".02%"
"Baldwin County","299",".59%","92.28%","25",".65%","7.72%","324",".59%"
"Banks County","57",".11%","90.48%","6",".16%","9.52%","63",".12%"
"Barrow County","307",".60%","89.24%","37",".96%","10.76%","344",".63%"
"Bartow County","662","1.30%","87.11%","98","2.55%","12.89%","760","1.39%"
"Ben Hill County","263",".52%","92.61%","21",".55%","7.39%","284",".52%"
"Berrien County","89",".18%","97.80%","2",".05%","2.20%","91",".17%"
"Bibb County","1,149","2.26%","93.34%","82","2.13%","6.66%","1,231","2.25%"
"Bleckley County","70",".14%","92.11%","6",".16%","7.89%","76",".14%"
"Brantley County","51",".10%","91.07%","5",".13%","8.93%","56",".10%"
"Brooks County","59",".12%","95.16%","3",".08%","4.84%","62",".11%"
"Bryan County","73",".14%","98.65%","1",".03%","1.35%","74",".14%"
"Bulloch County","556","1.10%","94.40%","33",".86%","5.60%","589","1.08%"
"Burke County","211",".42%","95.05%","11",".29%","4.95%","222",".41%"
"Butts County","108",".21%","95.58%","5",".13%","4.42%","113",".21%"
"Calhoun County","26",".05%","96.30%","1",".03%","3.70%","27",".05%"
"Camden County","184",".36%","94.36%","11",".29%","5.64%","195",".36%"
"Candler County","113",".22%","90.40%","12",".31%","9.60%","125",".23%"
"Carroll County","609","1.20%","91.86%","54","1.41%","8.14%","663","1.21%"
"Catoosa County","353",".70%","89.37%","42","1.09%","10.63%","395",".72%"
"Charlton County","59",".12%","92.19%","5",".13%","7.81%","64",".12%"
"Chatham County","1,925","3.79%","95.68%","87","2.27%","4.32%","2,012","3.69%"
"Chattahoochee County","28",".06%","96.55%","1",".03%","3.45%","29",".05%"
"Chattooga County","252",".50%","90.32%","27",".70%","9.68%","279",".51%"
"Cherokee County","546","1.08%","88.49%","71","1.85%","11.51%","617","1.13%"
"Clarke County","539","1.06%","93.90%","35",".91%","6.10%","574","1.05%"
"Clay County","20",".04%","80.00%","5",".13%","20.00%","25",".05%"
"Clayton County","1,437","2.83%","93.98%","92","2.40%","6.02%","1,529","2.80%"
"Clinch County","46",".09%","97.87%","1",".03%","2.13%","47",".09%"
"Cobb County","2,504","4.93%","91.92%","220","5.73%","8.08%","2,724","4.99%"
"Coffee County","244",".48%","94.21%","15",".39%","5.79%","259",".47%"
"Colquitt County","211",".42%","96.35%","8",".21%","3.65%","219",".40%"
"Columbia County","420",".83%","91.50%","39","1.02%","8.50%","459",".84%"
"Cook County","121",".24%","93.80%","8",".21%","6.20%","129",".24%"
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Coweta County","623","1.23%","92.57%","50","1.30%","7.43%","673","1.23%"
"Crawford County","22",".04%","88.00%","3",".08%","12.00%","25",".05%"
"Crisp County","296",".58%","93.97%","19",".49%","6.03%","315",".58%"
"Dade County","106",".21%","89.83%","12",".31%","10.17%","118",".22%"
"Dawson County","108",".21%","85.04%","19",".49%","14.96%","127",".23%"
"Decatur County","222",".44%","95.69%","10",".26%","4.31%","232",".42%"
"Dekalb County","3,107","6.12%","95.37%","151","3.93%","4.63%","3,258","5.97%"
"Dodge County","163",".32%","92.09%","14",".36%","7.91%","177",".32%"
"Dooly County","96",".19%","91.43%","9",".23%","8.57%","105",".19%"
"Dougherty County","971","1.91%","94.55%","56","1.46%","5.45%","1,027","1.88%"
"Douglas County","1,105","2.18%","89.69%","127","3.31%","10.31%","1,232","2.26%"
"Early County","96",".19%","93.20%","7",".18%","6.80%","103",".19%"
"Echols County","11",".02%","100.00%","","","","11",".02%"
"Effingham County","244",".48%","93.49%","17",".44%","6.51%","261",".48%"
"Elbert County","151",".30%","93.21%","11",".29%","6.79%","162",".30%"
"Emanuel County","165",".33%","91.16%","16",".42%","8.84%","181",".33%"
"Evans County","82",".16%","91.11%","8",".21%","8.89%","90",".16%"
"Fannin County","89",".18%","87.25%","13",".34%","12.75%","102",".19%"
"Fayette County","342",".67%","89.30%","41","1.07%","10.70%","383",".70%"
"Floyd County","886","1.75%","89.95%","99","2.58%","10.05%","985","1.80%"
"Forsyth County","381",".75%","90.28%","41","1.07%","9.72%","422",".77%"
"Franklin County","167",".33%","89.78%","19",".49%","10.22%","186",".34%"
"Fulton County","5,125","10.10%","96.14%","206","5.36%","3.86%","5,331","9.77%"
"Gilmer County","87",".17%","89.69%","10",".26%","10.31%","97",".18%"
"Glascock County","6",".01%","100.00%","","","","6",".01%"
"Glynn County","549","1.08%","93.85%","36",".94%","6.15%","585","1.07%"
"Gordon County","388",".76%","88.18%","52","1.35%","11.82%","440",".81%"
"Grady County","154",".30%","96.25%","6",".16%","3.75%","160",".29%"
"Greene County","123",".24%","95.35%","6",".16%","4.65%","129",".24%"
"Gwinnett County","2,616","5.15%","92.86%","201","5.23%","7.14%","2,817","5.16%"
"Habersham County","101",".20%","93.52%","7",".18%","6.48%","108",".20%"
"Hall County","728","1.43%","91.34%","69","1.80%","8.66%","797","1.46%"
"Hancock County","31",".06%","96.88%","1",".03%","3.13%","32",".06%"
"Haralson County","125",".25%","93.98%","8",".21%","6.02%","133",".24%"
"Harris County","111",".22%","91.74%","10",".26%","8.26%","121",".22%"
"Hart County","157",".31%","91.81%","14",".36%","8.19%","171",".31%"
"Heard County","55",".11%","93.22%","4",".10%","6.78%","59",".11%"
"Henry County","514","1.01%","88.77%","65","1.69%","11.23%","579","1.06%"
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Houston County","647","1.27%","92.83%","50","1.30%","7.17%","697","1.28%"
"Irwin County","82",".16%","98.80%","1",".03%","1.20%","83",".15%"
"Jackson County","248",".49%","92.19%","21",".55%","7.81%","269",".49%"
"Jasper County","51",".10%","91.07%","5",".13%","8.93%","56",".10%"
"Jeff Davis County","92",".18%","93.88%","6",".16%","6.12%","98",".18%"
"Jefferson County","151",".30%","97.42%","4",".10%","2.58%","155",".28%"
"Jenkins County","85",".17%","96.59%","3",".08%","3.41%","88",".16%"
