"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Unknown","189",".37%","94.03%","12",".31%","5.97%","201",".37%"
"Appling County","110",".22%","95.65%","5",".13%","4.35%","115",".21%"
"Atkinson County","50",".10%","92.59%","4",".10%","7.41%","54",".10%"
"Bacon County","66",".13%","91.67%","6",".16%","8.33%","72",".13%"
"Baker County","9",".02%","100.00%","","","","9",".02%"
"Baldwin County","309",".61%","92.24%","26",".68%","7.76%","335",".61%"
"Banks County","59",".12%","90.77%","6",".16%","9.23%","65",".12%"
"Barrow County","305",".60%","89.71%","35",".91%","10.29%","340",".62%"
"Bartow County","667","1.31%","87.08%","99","2.58%","12.92%","766","1.40%"
"Ben Hill County","263",".52%","93.26%","19",".49%","6.74%","282",".51%"
"Berrien County","87",".17%","98.86%","1",".03%","1.14%","88",".16%"
"Bibb County","1,151","2.26%","93.65%","78","2.03%","6.35%","1,229","2.24%"
"Bleckley County","76",".15%","92.68%","6",".16%","7.32%","82",".15%"
"Brantley County","62",".12%","91.18%","6",".16%","8.82%","68",".12%"
"Brooks County","58",".11%","96.67%","2",".05%","3.33%","60",".11%"
"Bryan County","73",".14%","98.65%","1",".03%","1.35%","74",".13%"
"Bulloch County","571","1.12%","94.54%","33",".86%","5.46%","604","1.10%"
"Burke County","207",".41%","95.39%","10",".26%","4.61%","217",".40%"
"Butts County","104",".20%","95.41%","5",".13%","4.59%","109",".20%"
"Calhoun County","26",".05%","96.30%","1",".03%","3.70%","27",".05%"
"Camden County","186",".36%","94.42%","11",".29%","5.58%","197",".36%"
"Candler County","112",".22%","91.06%","11",".29%","8.94%","123",".22%"
"Carroll County","609","1.19%","91.86%","54","1.41%","8.14%","663","1.21%"
"Catoosa County","355",".70%","89.87%","40","1.04%","10.13%","395",".72%"
"Charlton County","57",".11%","91.94%","5",".13%","8.06%","62",".11%"
"Chatham County","1,960","3.84%","95.80%","86","2.24%","4.20%","2,046","3.73%"
"Chattahoochee County","28",".05%","96.55%","1",".03%","3.45%","29",".05%"
"Chattooga County","254",".50%","90.07%","28",".73%","9.93%","282",".51%"
"Cherokee County","561","1.10%","88.91%","70","1.82%","11.09%","631","1.15%"
"Clarke County","529","1.04%","93.79%","35",".91%","6.21%","564","1.03%"
"Clay County","18",".04%","78.26%","5",".13%","21.74%","23",".04%"
"Clayton County","1,432","2.81%","93.66%","97","2.52%","6.34%","1,529","2.79%"
"Clinch County","46",".09%","97.87%","1",".03%","2.13%","47",".09%"
"Cobb County","2,479","4.86%","91.99%","216","5.62%","8.01%","2,695","4.91%"
"Coffee County","239",".47%","93.36%","17",".44%","6.64%","256",".47%"
"Colquitt County","212",".42%","96.80%","7",".18%","3.20%","219",".40%"
"Columbia County","428",".84%","91.65%","39","1.02%","8.35%","467",".85%"
"Cook County","124",".24%","93.94%","8",".21%","6.06%","132",".24%"
"Coweta County","631","1.24%","92.66%","50","1.30%","7.34%","681","1.24%"
"Crawford County","22",".04%","88.00%","3",".08%","12.00%","25",".05%"
"Crisp County","304",".60%","93.54%","21",".55%","6.46%","325",".59%"
"Dade County","106",".21%","87.60%","15",".39%","12.40%","121",".22%"
"Dawson County","103",".20%","83.74%","20",".52%","16.26%","123",".22%"
"Decatur County","224",".44%","94.92%","12",".31%","5.08%","236",".43%"
"Dekalb County","3,098","6.07%","95.41%","149","3.88%","4.59%","3,247","5.92%"
"Dodge County","168",".33%","92.31%","14",".36%","7.69%","182",".33%"
"Dooly County","100",".20%","92.59%","8",".21%","7.41%","108",".20%"
"Dougherty County","960","1.88%","94.58%","55","1.43%","5.42%","1,015","1.85%"
"Douglas County","1,103","2.16%","89.31%","132","3.44%","10.69%","1,235","2.25%"
"Early County","95",".19%","93.14%","7",".18%","6.86%","102",".19%"
"Echols County","10",".02%","100.00%","","","","10",".02%"
"Effingham County","251",".49%","93.31%","18",".47%","6.69%","269",".49%"
"Elbert County","152",".30%","93.25%","11",".29%","6.75%","163",".30%"
"Emanuel County","160",".31%","90.40%","17",".44%","9.60%","177",".32%"
"Evans County","86",".17%","92.47%","7",".18%","7.53%","93",".17%"
"Fannin County","91",".18%","86.67%","14",".36%","13.33%","105",".19%"
"Fayette County","352",".69%","90.72%","36",".94%","9.28%","388",".71%"
"Floyd County","902","1.77%","89.93%","101","2.63%","10.07%","1,003","1.83%"
"Forsyth County","380",".75%","90.26%","41","1.07%","9.74%","421",".77%"
"Franklin County","171",".34%","90.96%","17",".44%","9.04%","188",".34%"
"Fulton County","5,177","10.15%","96.03%","214","5.57%","3.97%","5,391","9.83%"
"Gilmer County","85",".17%","90.43%","9",".23%","9.57%","94",".17%"
"Glascock County","5",".01%","100.00%","","","","5",".01%"
"Glynn County","551","1.08%","94.35%","33",".86%","5.65%","584","1.06%"
"Gordon County","384",".75%","87.47%","55","1.43%","12.53%","439",".80%"
"Grady County","155",".30%","96.27%","6",".16%","3.73%","161",".29%"
"Greene County","119",".23%","95.97%","5",".13%","4.03%","124",".23%"
"Gwinnett County","2,616","5.13%","93.03%","196","5.10%","6.97%","2,812","5.13%"
"Habersham County","111",".22%","92.50%","9",".23%","7.50%","120",".22%"
"Hall County","732","1.44%","91.50%","68","1.77%","8.50%","800","1.46%"
"Hancock County","34",".07%","97.14%","1",".03%","2.86%","35",".06%"
"Haralson County","123",".24%","96.09%","5",".13%","3.91%","128",".23%"
"Harris County","111",".22%","93.28%","8",".21%","6.72%","119",".22%"
"Hart County","157",".31%","90.75%","16",".42%","9.25%","173",".32%"
"Heard County","55",".11%","88.71%","7",".18%","11.29%","62",".11%"
"Henry County","518","1.02%","89.00%","64","1.67%","11.00%","582","1.06%"
"Houston County","640","1.25%","92.89%","49","1.28%","7.11%","689","1.26%"
"Irwin County","82",".16%","98.80%","1",".03%","1.20%","83",".15%"
"Jackson County","244",".48%","92.08%","21",".55%","7.92%","265",".48%"
"Jasper County","49",".10%","92.45%","4",".10%","7.55%","53",".10%"
"Jeff Davis County","94",".18%","94.95%","5",".13%","5.05%","99",".18%"
"Jefferson County","157",".31%","97.52%","4",".10%","2.48%","161",".29%"
"Jenkins County","78",".15%","96.30%","3",".08%","3.70%","81",".15%"
"Johnson County","37",".07%","94.87%","2",".05%","5.13%","39",".07%"
"Jones County","210",".41%","88.61%","27",".70%","11.39%","237",".43%"
"Lamar County","84",".16%","92.31%","7",".18%","7.69%","91",".17%"
"Lanier County","48",".09%","94.12%","3",".08%","5.88%","51",".09%"
"Laurens County","259",".51%","93.84%","17",".44%","6.16%","276",".50%"
"Lee County","77",".15%","90.59%","8",".21%","9.41%","85",".15%"
"Liberty County","250",".49%","93.63%","17",".44%","6.37%","267",".49%"
"Lincoln County","34",".07%","94.44%","2",".05%","5.56%","36",".07%"
"Long County","66",".13%","92.96%","5",".13%","7.04%","71",".13%"
"Lowndes County","495",".97%","95.56%","23",".60%","4.44%","518",".94%"
"Lumpkin County","82",".16%","90.11%","9",".23%","9.89%","91",".17%"
"Macon County","48",".09%","100.00%","","","","48",".09%"
"Madison County","139",".27%","90.26%","15",".39%","9.74%","154",".28%"
"Marion County","22",".04%","88.00%","3",".08%","12.00%","25",".05%"
"Mcduffie County","202",".40%","93.95%","13",".34%","6.05%","215",".39%"
"Mcintosh County","47",".09%","100.00%","","","","47",".09%"
"Meriwether County","185",".36%","88.94%","23",".60%","11.06%","208",".38%"
"Miller County","35",".07%","92.11%","3",".08%","7.89%","38",".07%"
