"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"038
Coweta County","605","1.27%","94.24%","37",".99%","5.76%","642","1.25%"
"039
Crawford County","24",".05%","92.31%","2",".05%","7.69%","26",".05%"
"040
Crisp County","389",".81%","91.31%","37",".99%","8.69%","426",".83%"
"041
Dade County","86",".18%","88.66%","11",".29%","11.34%","97",".19%"
"042
Dawson County","137",".29%","86.16%","22",".59%","13.84%","159",".31%"
"043
Decatur County","312",".65%","91.50%","29",".77%","8.50%","341",".66%"
"044
Dekalb County","2,478","5.19%","95.45%","118","3.15%","4.55%","2,596","5.04%"
"045
Dodge County","132",".28%","89.19%","16",".43%","10.81%","148",".29%"
"046
Dooly County","129",".27%","88.97%","16",".43%","11.03%","145",".28%"
"047
Dougherty County","734","1.54%","95.45%","35",".94%","4.55%","769","1.49%"
"048
Douglas County","849","1.78%","90.71%","87","2.32%","9.29%","936","1.82%"
"049
Early County","90",".19%","97.83%","2",".05%","2.17%","92",".18%"
"050
Echols County","10",".02%","83.33%","2",".05%","16.67%","12",".02%"
"051
Effingham County","357",".75%","89.70%","41","1.10%","10.30%","398",".77%"
"052
Elbert County","138",".29%","90.79%","14",".37%","9.21%","152",".30%"
"053
Emanuel County","203",".42%","93.55%","14",".37%","6.45%","217",".42%"
"054
Evans County","81",".17%","93.10%","6",".16%","6.90%","87",".17%"
"055
Fannin County","99",".21%","87.61%","14",".37%","12.39%","113",".22%"
"056
Fayette County","377",".79%","89.34%","45","1.20%","10.66%","422",".82%"
"057
Floyd County","899","1.88%","90.81%","91","2.43%","9.19%","990","1.92%"
"058
Forsyth County","388",".81%","87.98%","53","1.42%","12.02%","441",".86%"
"059
Franklin County","169",".35%","88.02%","23",".61%","11.98%","192",".37%"
"060
Fulton County","4,477","9.37%","95.76%","198","5.29%","4.24%","4,675","9.07%"
"061
Gilmer County","104",".22%","91.23%","10",".27%","8.77%","114",".22%"
"062
Glascock County","15",".03%","100.00%","","","","15",".03%"
"063
Glynn County","551","1.15%","94.51%","32",".86%","5.49%","583","1.13%"
"064
Gordon County","390",".82%","87.44%","56","1.50%","12.56%","446",".87%"
"065
Grady County","203",".42%","88.26%","27",".72%","11.74%","230",".45%"
"066
Greene County","116",".24%","86.57%","18",".48%","13.43%","134",".26%"
"067
Gwinnett County","2,374","4.97%","92.95%","180","4.81%","7.05%","2,554","4.96%"
"068
Habersham County","130",".27%","87.84%","18",".48%","12.16%","148",".29%"
"069
Hall County","697","1.46%","91.59%","64","1.71%","8.41%","761","1.48%"
"070
Hancock County","42",".09%","95.45%","2",".05%","4.55%","44",".09%"
"071
Haralson County","175",".37%","90.21%","19",".51%","9.79%","194",".38%"
"072
Harris County","91",".19%","94.79%","5",".13%","5.21%","96",".19%"
"073
Hart County","163",".34%","93.14%","12",".32%","6.86%","175",".34%"
"074
Heard County","49",".10%","90.74%","5",".13%","9.26%","54",".10%"
"075
Henry County","726","1.52%","91.90%","64","1.71%","8.10%","790","1.53%"
