"County of Conviction","Count","Col%","Row%","Count","Col%","Row%","Total","Col%"
"108   Oconee County","58","0.12%","89.23%","7","0.17%","10.77%","65","0.12%"
"109   Oglethorpe County","58","0.12%","96.67%","2","0.05%","3.33%","60","0.11%"
"110   Paulding County","287","0.58%","91.4%","27","0.67%","8.6%","314","0.59%"
"111   Peach County","71","0.14%","97.26%","2","0.05%","2.74%","73","0.14%"
"112   Pickens County","98","0.2%","85.22%","17","0.42%","14.78%","115","0.21%"
"113   Pierce County","123","0.25%","91.79%","11","0.27%","8.21%","134","0.25%"
"114   Pike County","33","0.07%","86.84%","5","0.12%","13.16%","38","0.07%"
"115   Polk County","182","0.37%","91.0%","18","0.45%","9.0%","200","0.37%"
"116   Pulaski County","54","0.11%","93.1%","4","0.1%","6.9%","58","0.11%"
"117   Putnam County","147","0.3%","93.63%","10","0.25%","6.37%","157","0.29%"
"118   Quitman County","8","0.02%","100.0%","","","","8","0.01%"
"119   Rabun County","52","0.11%","86.67%","8","0.2%","13.33%","60","0.11%"
"120   Randolph County","38","0.08%","95.0%","2","0.05%","5.0%","40","0.07%"
"121   Richmond County","1,723","3.48%","94.0%","110","2.74%","6.0%","1,833","3.43%"
"122   Rockdale County","401","0.81%","92.61%","32","0.8%","7.39%","433","0.81%"
"123   Schley County","20","0.04%","90.91%","2","0.05%","9.09%","22","0.04%"
"124   Screven County","79","0.16%","90.8%","8","0.2%","9.2%","87","0.16%"
"125   Seminole County","64","0.13%","88.89%","8","0.2%","11.11%","72","0.13%"
"126   Spalding County","509","1.03%","89.46%","60","1.49%","10.54%","569","1.06%"
"127   Stephens County","138","0.28%","93.24%","10","0.25%","6.76%","148","0.28%"
"128   Stewart County","25","0.05%","96.15%","1","0.02%","3.85%","26","0.05%"
"129   Sumter County","216","0.44%","93.91%","14","0.35%","6.09%","230","0.43%"
"130   Talbot County","24","0.05%","92.31%","2","0.05%","7.69%","26","0.05%"
"131   Taliaferro County","22","0.04%","91.67%","2","0.05%","8.33%","24","0.04%"
"132   Tattnall County","232","0.47%","88.89%","29","0.72%","11.11%","261","0.49%"
"133   Taylor County","45","0.09%","93.75%","3","0.07%","6.25%","48","0.09%"
"134   Telfair County","112","0.23%","89.6%","13","0.32%","10.4%","125","0.23%"
