"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Unknown","201",".44%","94.37%","12",".34%","5.63%","213",".43%"
"Appling County","104",".23%","96.30%","4",".11%","3.70%","108",".22%"
"Atkinson County","42",".09%","95.45%","2",".06%","4.55%","44",".09%"
"Bacon County","71",".15%","94.67%","4",".11%","5.33%","75",".15%"
"Baker County","14",".03%","87.50%","2",".06%","12.50%","16",".03%"
"Baldwin County","278",".61%","92.36%","23",".66%","7.64%","301",".61%"
"Banks County","53",".12%","91.38%","5",".14%","8.62%","58",".12%"
"Barrow County","364",".79%","90.77%","37","1.06%","9.23%","401",".81%"
"Bartow County","588","1.28%","87.50%","84","2.41%","12.50%","672","1.36%"
"Ben Hill County","257",".56%","92.11%","22",".63%","7.89%","279",".57%"
"Berrien County","102",".22%","93.58%","7",".20%","6.42%","109",".22%"
"Bibb County","952","2.08%","95.49%","45","1.29%","4.51%","997","2.02%"
"Bleckley County","61",".13%","93.85%","4",".11%","6.15%","65",".13%"
"Brantley County","80",".17%","86.96%","12",".34%","13.04%","92",".19%"
"Brooks County","49",".11%","98.00%","1",".03%","2.00%","50",".10%"
"Bryan County","53",".12%","98.15%","1",".03%","1.85%","54",".11%"
"Bulloch County","486","1.06%","92.75%","38","1.09%","7.25%","524","1.06%"
"Burke County","219",".48%","96.05%","9",".26%","3.95%","228",".46%"
"Butts County","137",".30%","91.95%","12",".34%","8.05%","149",".30%"
"Calhoun County","26",".06%","86.67%","4",".11%","13.33%","30",".06%"
"Camden County","186",".41%","93.47%","13",".37%","6.53%","199",".40%"
"Candler County","83",".18%","91.21%","8",".23%","8.79%","91",".18%"
"Carroll County","644","1.40%","93.20%","47","1.35%","6.80%","691","1.40%"
"Catoosa County","355",".77%","88.53%","46","1.32%","11.47%","401",".81%"
"Charlton County","69",".15%","89.61%","8",".23%","10.39%","77",".16%"
"Chatham County","1,516","3.31%","95.89%","65","1.87%","4.11%","1,581","3.20%"
"Chattahoochee County","17",".04%","100.00%","","","","17",".03%"
"Chattooga County","164",".36%","91.62%","15",".43%","8.38%","179",".36%"
"Cherokee County","577","1.26%","92.91%","44","1.26%","7.09%","621","1.26%"
"Clarke County","462","1.01%","95.06%","24",".69%","4.94%","486",".99%"
"Clay County","13",".03%","81.25%","3",".09%","18.75%","16",".03%"
"Clayton County","1,092","2.38%","93.81%","72","2.07%","6.19%","1,164","2.36%"
"Clinch County","42",".09%","93.33%","3",".09%","6.67%","45",".09%"
"Cobb County","2,153","4.70%","92.80%","167","4.80%","7.20%","2,320","4.70%"
"Coffee County","302",".66%","93.79%","20",".57%","6.21%","322",".65%"
"Colquitt County","236",".51%","94.78%","13",".37%","5.22%","249",".50%"
"Columbia County","393",".86%","89.73%","45","1.29%","10.27%","438",".89%"
"Cook County","115",".25%","92.00%","10",".29%","8.00%","125",".25%"
