"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","390","0.8%","95.35%","19","0.47%","4.65%","409","0.77%"
"Twenties (20-29)","9,506","19.44%","92.53%","767","18.8%","7.47%","10,273","19.39%"
"Thirties (30-39)","14,875","30.42%","91.01%","1,470","36.03%","8.99%","16,345","30.86%"
"Forties (40-49)","12,171","24.89%","91.85%","1,080","26.47%","8.15%","13,251","25.01%"
"Fifties (50-59)","7,005","14.33%","93.26%","506","12.4%","6.74%","7,511","14.18%"
"Sixties (60-69)","3,849","7.87%","95.01%","202","4.95%","4.99%","4,051","7.65%"
"Seventy + (70 and above)","1,097","2.24%","96.82%","36","0.88%","3.18%","1,133","2.14%"
"Total Reported","48,893","100.00%","92.30%","4,080","100.00%","7.70%","52,973","100.00%"
"Not Reported","454","","","3","","","457",""
"Grand Total","49,347","","","48,896","","","53,430",""
