"Prison Sentence In Years","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"0 - 1","468","0.95%","92.86%","36","0.9%","7.14%","504","0.94%"
"1.1 - 2","586","1.18%","91.56%","54","1.34%","8.44%","640","1.2%"
"2.1 - 3","830","1.68%","85.39%","142","3.53%","14.61%","972","1.82%"
"3.1 - 4","765","1.55%","88.13%","103","2.56%","11.87%","868","1.62%"
"4.1 - 5","1,488","3.01%","89.26%","179","4.45%","10.74%","1,667","3.12%"
"5.1 - 6","840","1.7%","89.84%","95","2.36%","10.16%","935","1.75%"
"6.1 - 7","826","1.67%","91.68%","75","1.87%","8.32%","901","1.68%"
"7.1 - 8","935","1.89%","91.4%","88","2.19%","8.6%","1,023","1.91%"
"8.1 - 9","1,157","2.34%","93.08%","86","2.14%","6.92%","1,243","2.32%"
"9.1 - 10","2,918","5.9%","88.91%","364","9.05%","11.09%","3,282","6.13%"
"10.1 - 12","1,879","3.8%","91.93%","165","4.1%","8.07%","2,044","3.82%"
"12.1 - 15","4,236","8.56%","90.9%","424","10.54%","9.1%","4,660","8.71%"
"15.1 - 20","8,936","18.06%","92.29%","747","18.58%","7.71%","9,683","18.09%"
"20.1 - Over","13,699","27.68%","93.6%","936","23.28%","6.4%","14,635","27.35%"
"Life","7,591","15.34%","94.59%","434","10.79%","5.41%","8,025","15.0%"
"Life Without Parole","2,267","4.58%","96.26%","88","2.19%","3.74%","2,355","4.4%"
"Death","32","0.06%","96.97%","1","0.02%","3.03%","33","0.06%"
"Youthful Offenders","40","0.08%","90.91%","4","0.1%","9.09%","44","0.08%"
"Total Reported","49,493","100.00%","92.49%","4,021","100.00%","7.51%","53,514","100.00%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,493","","","4,021","","","53,514",""
