"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","17,059","33.65%","88.62%","2,191","57.51%","11.38%","19,250","35.31%"
"Black","31,428","61.99%","95.31%","1,548","40.63%","4.69%","32,976","60.50%"
"Other","60",".12%","89.55%","7",".18%","10.45%","67",".12%"
"Asian","176",".35%","95.14%","9",".24%","4.86%","185",".34%"
"Unknown","10",".02%","90.91%","1",".03%","9.09%","11",".02%"
"Hispanic","1,942","3.83%","97.34%","53","1.39%","2.66%","1,995","3.66%"
"Native American","23",".05%","95.83%","1",".03%","4.17%","24",".04%"
"Native Hawaiian","2",".01%","100.00%","0","0%","0%","2",".01%"
"Total Reported","50,700","100%","93.01%","3,810","100%","6.99%","54,510","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","50,700","","","3,810","","","54,510",""
