"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","17,302","34.04%","88.25%","2,303","58.59%","11.75%","19,605","35.80%"
"Black","31,213","61.40%","95.28%","1,547","39.35%","4.72%","32,760","59.82%"
"Other","57",".11%","90.48%","6",".15%","9.52%","63",".12%"
"Asian","176",".35%","94.62%","10",".25%","5.38%","186",".34%"
"Unknown","12",".02%","85.71%","2",".05%","14.29%","14",".03%"
"Hispanic","2,047","4.03%","97.06%","62","1.58%","2.94%","2,109","3.85%"
"Native American","25",".05%","96.15%","1",".03%","3.85%","26",".05%"
"Native Hawaiian","1",".01%","100.00%","0","0%","0%","1",".01%"
"Total Reported","50,833","100%","92.82%","3,931","100%","7.18%","54,764","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","50,833","","","3,931","","","54,764",""
