"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","8,343","17.42%","90.35%","891","23.58%","9.65%","9,234","17.87%"
"1 to 1.99 years","7,044","14.71%","89.89%","792","20.96%","10.11%","7,836","15.16%"
"2 to 2.99 years","5,322","11.11%","90.70%","546","14.45%","9.30%","5,868","11.35%"
"3 to 3.99 years","3,103","6.48%","92.57%","249","6.59%","7.43%","3,352","6.49%"
"4 to 4.99 years","1,982","4.14%","92.53%","160","4.23%","7.47%","2,142","4.14%"
"5 to 5.99 years","2,583","5.39%","92.71%","203","5.37%","7.29%","2,786","5.39%"
"6 to 6.99 years","2,425","5.06%","92.81%","188","4.97%","7.19%","2,613","5.06%"
"7 to 7.99 years","2,039","4.26%","95.06%","106","2.80%","4.94%","2,145","4.15%"
"8 to 8.99 years","1,775","3.71%","94.11%","111","2.94%","5.89%","1,886","3.65%"
"9 to 9.99 years","1,395","2.91%","95.22%","70","1.85%","4.78%","1,465","2.83%"
"10 to 10.99 years","1,186","2.48%","96.11%","48","1.27%","3.89%","1,234","2.39%"
"11 to 11.99 years","1,037","2.16%","94.79%","57","1.51%","5.21%","1,094","2.12%"
"12 to 12.99 years","907","1.89%","95.17%","46","1.22%","4.83%","953","1.84%"
"13 to 13.99 years","877","1.83%","96.06%","36","0.95%","3.94%","913","1.77%"
"14 to 14.99 years","683","1.43%","95.79%","30","0.79%","4.21%","713","1.38%"
"15 to 15.99 years","575","1.20%","94.88%","31","0.82%","5.12%","606","1.17%"
"16 to 16.99 years","588","1.23%","96.39%","22","0.58%","3.61%","610","1.18%"
"17 to 17.99 years","592","1.24%","96.42%","22","0.58%","3.58%","614","1.19%"
"18 to 18.99 years","498","1.04%","95.40%","24","0.64%","4.60%","522","1.01%"
"19 to 19.99 years","400","0.84%","95.92%","17","0.45%","4.08%","417","0.81%"
"20 to 20.99 years","338","0.71%","95.48%","16","0.42%","4.52%","354","0.68%"
"21 to 21.99 years","331","0.69%","94.84%","18","0.48%","5.16%","349","0.68%"
"22 to 22.99 years","316","0.66%","95.18%","16","0.42%","4.82%","332","0.64%"
"23 to 23.99 years","311","0.65%","98.11%","6","0.16%","1.89%","317","0.61%"
"24 to 24.99 years","300","0.63%","96.15%","12","0.32%","3.85%","312","0.60%"
"25 to 25.99 years","253","0.53%","95.11%","13","0.34%","4.89%","266","0.51%"
"26 to 26.99 years","279","0.58%","96.88%","9","0.24%","3.13%","288","0.56%"
"27 to 27.99 years","297","0.62%","97.06%","9","0.24%","2.94%","306","0.59%"
"28 to 28.99 years","262","0.55%","97.76%","6","0.16%","2.24%","268","0.52%"
"29 to 29.99 years","233","0.49%","98.73%","3","0.08%","1.27%","236","0.46%"
"Thirty + years","1,628","3.40%","98.67%","22","0.58%","1.33%","1,650","3.19%"
"Total Reported","47,902","100%","92.69%","3,779","100%","7.31%","51,681","100%"
"Not Reported","27",,,"4",,,"31",
"Grand Total","47,929",,,"3,783",,,"51,712",
