"Age At Admission","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"15","6","0.03%","100.00%","","","","6","0.03%"
"16","20","0.11%","100.00%","","","","20","0.10%"
"17","166","0.91%","94.86%","9","0.41%","5.14%","175","0.86%"
"18","373","2.05%","95.15%","19","0.86%","4.85%","392","1.92%"
"19","516","2.83%","94.68%","29","1.32%","5.32%","545","2.67%"
"20","622","3.41%","93.11%","46","2.09%","6.89%","668","3.27%"
"21","695","3.81%","92.05%","60","2.72%","7.95%","755","3.69%"
"22","682","3.74%","92.66%","54","2.45%","7.34%","736","3.60%"
"23","746","4.09%","91.31%","71","3.22%","8.69%","817","4.00%"
"24","738","4.05%","90.89%","74","3.36%","9.11%","812","3.97%"
"25","775","4.25%","90.33%","83","3.76%","9.67%","858","4.20%"
"26","765","4.19%","91.18%","74","3.36%","8.82%","839","4.10%"
"27","758","4.16%","90.67%","78","3.54%","9.33%","836","4.09%"
"28","751","4.12%","92.26%","63","2.86%","7.74%","814","3.98%"
"29","644","3.53%","88.10%","87","3.95%","11.90%","731","3.58%"
"30","570","3.13%","88.79%","72","3.27%","11.21%","642","3.14%"
"31","557","3.05%","91.16%","54","2.45%","8.84%","611","2.99%"
"32","522","2.86%","86.57%","81","3.67%","13.43%","603","2.95%"
"33","542","2.97%","89.29%","65","2.95%","10.71%","607","2.97%"
"34","521","2.86%","88.31%","69","3.13%","11.69%","590","2.89%"
"35","501","2.75%","85.64%","84","3.81%","14.36%","585","2.86%"
"36","490","2.69%","85.22%","85","3.85%","14.78%","575","2.81%"
"37","448","2.46%","87.50%","64","2.90%","12.50%","512","2.50%"
"38","429","2.35%","83.63%","84","3.81%","16.37%","513","2.51%"
"39","488","2.68%","85.61%","82","3.72%","14.39%","570","2.79%"
"40","405","2.22%","85.44%","69","3.13%","14.56%","474","2.32%"
"41","444","2.43%","86.05%","72","3.27%","13.95%","516","2.52%"
"42","450","2.47%","86.54%","70","3.17%","13.46%","520","2.54%"
"43","407","2.23%","83.57%","80","3.63%","16.43%","487","2.38%"
"44","398","2.18%","83.97%","76","3.45%","16.03%","474","2.32%"
"45","425","2.33%","86.56%","66","2.99%","13.44%","491","2.40%"
"46","344","1.89%","89.35%","41","1.86%","10.65%","385","1.88%"
"47","284","1.56%","86.59%","44","2.00%","13.41%","328","1.60%"
"48","284","1.56%","86.32%","45","2.04%","13.68%","329","1.61%"
"49","243","1.33%","88.36%","32","1.45%","11.64%","275","1.35%"
"50","209","1.15%","90.09%","23","1.04%","9.91%","232","1.13%"
"51","183","1.00%","87.56%","26","1.18%","12.44%","209","1.02%"
"52","153","0.84%","91.07%","15","0.68%","8.93%","168","0.82%"
"53","134","0.73%","91.16%","13","0.59%","8.84%","147","0.72%"
"54","86","0.47%","89.58%","10","0.45%","10.42%","96","0.47%"
"55","75","0.41%","92.59%","6","0.27%","7.41%","81","0.40%"
"56","78","0.43%","89.66%","9","0.41%","10.34%","87","0.43%"
"57","68","0.37%","91.89%","6","0.27%","8.11%","74","0.36%"
"58","45","0.25%","88.24%","6","0.27%","11.76%","51","0.25%"
"59","36","0.20%","97.30%","1","0.05%","2.70%","37","0.18%"
"60","29","0.16%","100.00%","","","","29","0.14%"
"61","20","0.11%","83.33%","4","0.18%","16.67%","24","0.12%"
"62","20","0.11%","95.24%","1","0.05%","4.76%","21","0.10%"
"63","23","0.13%","100.00%","","","","23","0.11%"
"64","14","0.08%","87.50%","2","0.09%","12.50%","16","0.08%"
"65","15","0.08%","100.00%","","","","15","0.07%"
"66","7","0.04%","100.00%","","","","7","0.03%"
"67","4","0.02%","100.00%","","","","4","0.02%"
"68","5","0.03%","100.00%","","","","5","0.02%"
"69","4","0.02%","80.00%","1","0.05%","20.00%","5","0.02%"
"70","5","0.03%","100.00%","","","","5","0.02%"
"71","4","0.02%","100.00%","","","","4","0.02%"
"72","4","0.02%","100.00%","","","","4","0.02%"
"73","1","0.01%","100.00%","","","","1","0.01%"
"74","2","0.01%","100.00%","","","","2","0.01%"
"75","1","0.01%","100.00%","","","","1","0.01%"
"78","1","0.01%","100.00%","","","","1","0.01%"
"79","1","0.01%","100.00%","","","","1","0.01%"
"82","1","0.01%","100.00%","","","","1","0.01%"
"Total Reported","18,237","100%","89.21%","2,205","100%","10.79%","20,442","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","18,237","","","2,205","","","20,442",""
