"Age At Admission","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"73","4","0.03%","80.0%","1","0.05%","20.0%","5","0.04%"
"74","6","0.05%","100.0%","","","","6","0.04%"
"75","6","0.05%","100.0%","","","","6","0.04%"
"76","3","0.02%","100.0%","","","","3","0.02%"
"77","4","0.03%","100.0%","","","","4","0.03%"
"78","5","0.04%","100.0%","","","","5","0.04%"
"79","5","0.04%","100.0%","","","","5","0.04%"
"80","4","0.03%","100.0%","","","","4","0.03%"
"81","3","0.02%","100.0%","","","","3","0.02%"
"82","1","0.01%","100.0%","","","","1","0.01%"
"84","1","0.01%","100.0%","","","","1","0.01%"
"86","1","0.01%","100.0%","","","","1","0.01%"
"87","1","0.01%","100.0%","","","","1","0.01%"
"Total Reported","12,074","100.00%","86.58%","1,872","100.00%","13.42%","13,946","100.00%"
