"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Unknown","40",".24%","90.91%","4",".18%","9.09%","44",".23%"
"Appling County","32",".19%","91.43%","3",".13%","8.57%","35",".18%"
"Atkinson County","14",".08%","82.35%","3",".13%","17.65%","17",".09%"
"Bacon County","35",".21%","92.11%","3",".13%","7.89%","38",".20%"
"Baker County","1",".01%","33.33%","2",".09%","66.67%","3",".02%"
"Baldwin County","121",".72%","88.32%","16",".72%","11.68%","137",".72%"
"Banks County","23",".14%","92.00%","2",".09%","8.00%","25",".13%"
"Barrow County","134",".80%","82.72%","28","1.25%","17.28%","162",".85%"
"Bartow County","226","1.35%","78.47%","62","2.78%","21.53%","288","1.52%"
"Ben Hill County","66",".39%","97.06%","2",".09%","2.94%","68",".36%"
"Berrien County","40",".24%","93.02%","3",".13%","6.98%","43",".23%"
"Bibb County","310","1.85%","92.54%","25","1.12%","7.46%","335","1.77%"
"Bleckley County","22",".13%","91.67%","2",".09%","8.33%","24",".13%"
"Brantley County","51",".30%","82.26%","11",".49%","17.74%","62",".33%"
"Brooks County","6",".04%","85.71%","1",".04%","14.29%","7",".04%"
"Bryan County","14",".08%","82.35%","3",".13%","17.65%","17",".09%"
"Bulloch County","197","1.18%","89.14%","24","1.07%","10.86%","221","1.17%"
"Burke County","81",".48%","92.05%","7",".31%","7.95%","88",".46%"
"Butts County","45",".27%","84.91%","8",".36%","15.09%","53",".28%"
"Calhoun County","5",".03%","71.43%","2",".09%","28.57%","7",".04%"
"Camden County","65",".39%","84.42%","12",".54%","15.58%","77",".41%"
"Candler County","30",".18%","93.75%","2",".09%","6.25%","32",".17%"
"Carroll County","231","1.38%","84.62%","42","1.88%","15.38%","273","1.44%"
"Catoosa County","119",".71%","88.81%","15",".67%","11.19%","134",".71%"
"Charlton County","45",".27%","90.00%","5",".22%","10.00%","50",".26%"
"Chatham County","654","3.91%","92.11%","56","2.51%","7.89%","710","3.74%"
"Chattahoochee County","6",".04%","100.00%","","","","6",".03%"
"Chattooga County","88",".53%","86.27%","14",".63%","13.73%","102",".54%"
"Cherokee County","243","1.45%","84.67%","44","1.97%","15.33%","287","1.51%"
"Clarke County","191","1.14%","89.67%","22",".99%","10.33%","213","1.12%"
"Clay County","6",".04%","100.00%","","","","6",".03%"
"Clayton County","372","2.22%","90.51%","39","1.75%","9.49%","411","2.17%"
"Clinch County","17",".10%","100.00%","","","","17",".09%"
"Cobb County","1,058","6.32%","88.31%","140","6.27%","11.69%","1,198","6.32%"
"Coffee County","76",".45%","89.41%","9",".40%","10.59%","85",".45%"
"Colquitt County","63",".38%","95.45%","3",".13%","4.55%","66",".35%"
"Columbia County","137",".82%","84.57%","25","1.12%","15.43%","162",".85%"
"Cook County","34",".20%","87.18%","5",".22%","12.82%","39",".21%"
"Coweta County","189","1.13%","87.91%","26","1.16%","12.09%","215","1.13%"
"Crawford County","3",".02%","100.00%","","","","3",".02%"
"Crisp County","109",".65%","91.60%","10",".45%","8.40%","119",".63%"
"Dade County","34",".20%","82.93%","7",".31%","17.07%","41",".22%"
"Dawson County","39",".23%","86.67%","6",".27%","13.33%","45",".24%"
"Decatur County","76",".45%","90.48%","8",".36%","9.52%","84",".44%"
"Dekalb County","561","3.35%","91.37%","53","2.37%","8.63%","614","3.24%"
"Dodge County","48",".29%","90.57%","5",".22%","9.43%","53",".28%"
"Dooly County","44",".26%","93.62%","3",".13%","6.38%","47",".25%"
"Dougherty County","234","1.40%","93.98%","15",".67%","6.02%","249","1.31%"
"Douglas County","366","2.19%","85.71%","61","2.73%","14.29%","427","2.25%"
"Early County","21",".13%","91.30%","2",".09%","8.70%","23",".12%"
"Echols County","1",".01%","50.00%","1",".04%","50.00%","2",".01%"
"Effingham County","83",".50%","79.05%","22",".99%","20.95%","105",".55%"
"Elbert County","51",".30%","92.73%","4",".18%","7.27%","55",".29%"
"Emanuel County","46",".27%","93.88%","3",".13%","6.12%","49",".26%"
"Evans County","24",".14%","96.00%","1",".04%","4.00%","25",".13%"
"Fannin County","24",".14%","80.00%","6",".27%","20.00%","30",".16%"
"Fayette County","116",".69%","87.22%","17",".76%","12.78%","133",".70%"
"Floyd County","321","1.92%","88.43%","42","1.88%","11.57%","363","1.91%"
"Forsyth County","138",".82%","85.71%","23","1.03%","14.29%","161",".85%"
"Franklin County","48",".29%","78.69%","13",".58%","21.31%","61",".32%"
"Fulton County","1,119","6.69%","93.80%","74","3.31%","6.20%","1,193","6.29%"
"Gilmer County","32",".19%","84.21%","6",".27%","15.79%","38",".20%"
"Glascock County","3",".02%","100.00%","","","","3",".02%"
"Glynn County","163",".97%","86.70%","25","1.12%","13.30%","188",".99%"
"Gordon County","170","1.02%","81.34%","39","1.75%","18.66%","209","1.10%"
"Grady County","47",".28%","90.38%","5",".22%","9.62%","52",".27%"
"Greene County","46",".27%","82.14%","10",".45%","17.86%","56",".30%"
"Gwinnett County","843","5.04%","88.18%","113","5.06%","11.82%","956","5.04%"
"Habersham County","48",".29%","90.57%","5",".22%","9.43%","53",".28%"
"Hall County","212","1.27%","87.97%","29","1.30%","12.03%","241","1.27%"
"Hancock County","9",".05%","81.82%","2",".09%","18.18%","11",".06%"
"Haralson County","46",".27%","88.46%","6",".27%","11.54%","52",".27%"
"Harris County","46",".27%","92.00%","4",".18%","8.00%","50",".26%"
"Hart County","69",".41%","94.52%","4",".18%","5.48%","73",".38%"
"Heard County","24",".14%","96.00%","1",".04%","4.00%","25",".13%"
"Henry County","408","2.44%","85.89%","67","3.00%","14.11%","475","2.50%"
"Houston County","204","1.22%","87.55%","29","1.30%","12.45%","233","1.23%"
"Irwin County","15",".09%","88.24%","2",".09%","11.76%","17",".09%"
"Jackson County","119",".71%","86.86%","18",".81%","13.14%","137",".72%"
"Jasper County","27",".16%","90.00%","3",".13%","10.00%","30",".16%"
"Jeff Davis County","26",".16%","89.66%","3",".13%","10.34%","29",".15%"
"Jefferson County","45",".27%","93.75%","3",".13%","6.25%","48",".25%"
"Jenkins County","19",".11%","90.48%","2",".09%","9.52%","21",".11%"
