"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Unknown","28",".19%","87.50%","4",".21%","12.50%","32",".19%"
"Appling County","26",".17%","83.87%","5",".26%","16.13%","31",".18%"
"Atkinson County","12",".08%","85.71%","2",".10%","14.29%","14",".08%"
"Bacon County","25",".17%","89.29%","3",".16%","10.71%","28",".17%"
"Baker County","1",".01%","50.00%","1",".05%","50.00%","2",".01%"
"Baldwin County","79",".53%","87.78%","11",".57%","12.22%","90",".53%"
"Banks County","15",".10%","88.24%","2",".10%","11.76%","17",".10%"
"Barrow County","98",".65%","90.74%","10",".52%","9.26%","108",".64%"
"Bartow County","217","1.45%","80.67%","52","2.69%","19.33%","269","1.59%"
"Ben Hill County","62",".41%","86.11%","10",".52%","13.89%","72",".43%"
"Berrien County","25",".17%","92.59%","2",".10%","7.41%","27",".16%"
"Bibb County","312","2.08%","95.71%","14",".72%","4.29%","326","1.92%"
"Bleckley County","14",".09%","87.50%","2",".10%","12.50%","16",".09%"
"Brantley County","26",".17%","96.30%","1",".05%","3.70%","27",".16%"
"Brooks County","19",".13%","86.36%","3",".16%","13.64%","22",".13%"
"Bryan County","35",".23%","100.00%","","","","35",".21%"
"Bulloch County","164","1.09%","90.11%","18",".93%","9.89%","182","1.07%"
"Burke County","60",".40%","93.75%","4",".21%","6.25%","64",".38%"
"Butts County","40",".27%","93.02%","3",".16%","6.98%","43",".25%"
"Calhoun County","5",".03%","100.00%","","","","5",".03%"
"Camden County","45",".30%","91.84%","4",".21%","8.16%","49",".29%"
"Candler County","25",".17%","89.29%","3",".16%","10.71%","28",".17%"
"Carroll County","172","1.15%","85.15%","30","1.55%","14.85%","202","1.19%"
"Catoosa County","107",".71%","82.31%","23","1.19%","17.69%","130",".77%"
"Charlton County","17",".11%","94.44%","1",".05%","5.56%","18",".11%"
"Chatham County","566","3.77%","92.48%","46","2.38%","7.52%","612","3.61%"
"Chattahoochee County","14",".09%","100.00%","","","","14",".08%"
"Chattooga County","84",".56%","79.25%","22","1.14%","20.75%","106",".63%"
"Cherokee County","206","1.37%","84.08%","39","2.02%","15.92%","245","1.45%"
"Clarke County","135",".90%","93.75%","9",".47%","6.25%","144",".85%"
"Clay County","8",".05%","100.00%","","","","8",".05%"
"Clayton County","446","2.97%","88.67%","57","2.95%","11.33%","503","2.97%"
"Clinch County","15",".10%","93.75%","1",".05%","6.25%","16",".09%"
"Cobb County","1,057","7.04%","85.04%","186","9.61%","14.96%","1,243","7.34%"
"Coffee County","76",".51%","84.44%","14",".72%","15.56%","90",".53%"
"Colquitt County","60",".40%","95.24%","3",".16%","4.76%","63",".37%"
"Columbia County","114",".76%","83.21%","23","1.19%","16.79%","137",".81%"
"Cook County","49",".33%","92.45%","4",".21%","7.55%","53",".31%"
"Coweta County","165","1.10%","89.67%","19",".98%","10.33%","184","1.09%"
"Crawford County","5",".03%","100.00%","","","","5",".03%"
"Crisp County","62",".41%","92.54%","5",".26%","7.46%","67",".40%"
"Dade County","23",".15%","82.14%","5",".26%","17.86%","28",".17%"
"Dawson County","28",".19%","77.78%","8",".41%","22.22%","36",".21%"
"Decatur County","63",".42%","92.65%","5",".26%","7.35%","68",".40%"
"Dekalb County","813","5.42%","91.45%","76","3.93%","8.55%","889","5.25%"
"Dodge County","48",".32%","92.31%","4",".21%","7.69%","52",".31%"
"Dooly County","22",".15%","95.65%","1",".05%","4.35%","23",".14%"
"Dougherty County","286","1.91%","89.66%","33","1.71%","10.34%","319","1.88%"
"Douglas County","372","2.48%","83.60%","73","3.77%","16.40%","445","2.63%"
"Early County","22",".15%","95.65%","1",".05%","4.35%","23",".14%"
"Echols County","2",".01%","100.00%","","","","2",".01%"
"Effingham County","35",".23%","85.37%","6",".31%","14.63%","41",".24%"
"Elbert County","37",".25%","82.22%","8",".41%","17.78%","45",".27%"
"Emanuel County","35",".23%","97.22%","1",".05%","2.78%","36",".21%"
"Evans County","31",".21%","91.18%","3",".16%","8.82%","34",".20%"
"Fannin County","24",".16%","85.71%","4",".21%","14.29%","28",".17%"
"Fayette County","132",".88%","83.02%","27","1.40%","16.98%","159",".94%"
"Floyd County","320","2.13%","86.02%","52","2.69%","13.98%","372","2.20%"
"Forsyth County","137",".91%","82.53%","29","1.50%","17.47%","166",".98%"
"Franklin County","43",".29%","87.76%","6",".31%","12.24%","49",".29%"
"Fulton County","1,074","7.16%","94.96%","57","2.95%","5.04%","1,131","6.68%"
"Gilmer County","28",".19%","93.33%","2",".10%","6.67%","30",".18%"
"Glascock County","4",".03%","80.00%","1",".05%","20.00%","5",".03%"
"Glynn County","160","1.07%","89.89%","18",".93%","10.11%","178","1.05%"
"Gordon County","135",".90%","79.41%","35","1.81%","20.59%","170","1.00%"
"Grady County","32",".21%","88.89%","4",".21%","11.11%","36",".21%"
"Greene County","38",".25%","90.48%","4",".21%","9.52%","42",".25%"
"Gwinnett County","762","5.08%","87.59%","108","5.58%","12.41%","870","5.14%"
"Habersham County","36",".24%","85.71%","6",".31%","14.29%","42",".25%"
"Hall County","233","1.55%","87.59%","33","1.71%","12.41%","266","1.57%"
"Hancock County","11",".07%","91.67%","1",".05%","8.33%","12",".07%"
"Haralson County","67",".45%","88.16%","9",".47%","11.84%","76",".45%"
"Harris County","29",".19%","80.56%","7",".36%","19.44%","36",".21%"
"Hart County","60",".40%","88.24%","8",".41%","11.76%","68",".40%"
"Heard County","19",".13%","95.00%","1",".05%","5.00%","20",".12%"
"Henry County","198","1.32%","84.98%","35","1.81%","15.02%","233","1.38%"
"Houston County","217","1.45%","88.93%","27","1.40%","11.07%","244","1.44%"
"Irwin County","13",".09%","100.00%","","","","13",".08%"
"Jackson County","82",".55%","88.17%","11",".57%","11.83%","93",".55%"
"Jasper County","26",".17%","100.00%","","","","26",".15%"
"Jeff Davis County","25",".17%","89.29%","3",".16%","10.71%","28",".17%"
"Jefferson County","38",".25%","92.68%","3",".16%","7.32%","41",".24%"
"Jenkins County","13",".09%","92.86%","1",".05%","7.14%","14",".08%"
"Johnson County","13",".09%","92.86%","1",".05%","7.14%","14",".08%"
"Jones County","67",".45%","83.75%","13",".67%","16.25%","80",".47%"
"Lamar County","26",".17%","83.87%","5",".26%","16.13%","31",".18%"
"Lanier County","14",".09%","87.50%","2",".10%","12.50%","16",".09%"
"Laurens County","105",".70%","95.45%","5",".26%","4.55%","110",".65%"
"Lee County","20",".13%","86.96%","3",".16%","13.04%","23",".14%"
"Liberty County","64",".43%","87.67%","9",".47%","12.33%","73",".43%"
"Lincoln County","8",".05%","88.89%","1",".05%","11.11%","9",".05%"
"Long County","25",".17%","80.65%","6",".31%","19.35%","31",".18%"
"Lowndes County","141",".94%","93.38%","10",".52%","6.62%","151",".89%"
"Lumpkin County","34",".23%","85.00%","6",".31%","15.00%","40",".24%"
"Macon County","14",".09%","100.00%","","","","14",".08%"
"Madison County","59",".39%","93.65%","4",".21%","6.35%","63",".37%"
"Marion County","6",".04%","75.00%","2",".10%","25.00%","8",".05%"
"Mcduffie County","41",".27%","91.11%","4",".21%","8.89%","45",".27%"
"Mcintosh County","19",".13%","100.00%","","","","19",".11%"
"Meriwether County","57",".38%","90.48%","6",".31%","9.52%","63",".37%"
"Miller County","12",".08%","92.31%","1",".05%","7.69%","13",".08%"
"Mitchell County","32",".21%","86.49%","5",".26%","13.51%","37",".22%"
"Monroe County","41",".27%","82.00%","9",".47%","18.00%","50",".30%"
"Montgomery County","9",".06%","90.00%","1",".05%","10.00%","10",".06%"
"Morgan County","58",".39%","89.23%","7",".36%","10.77%","65",".38%"
"Murray County","58",".39%","90.63%","6",".31%","9.38%","64",".38%"
"Muscogee County","356","2.37%","91.05%","35","1.81%","8.95%","391","2.31%"
"Newton County","237","1.58%","85.56%","40","2.07%","14.44%","277","1.64%"
"Oconee County","13",".09%","100.00%","","","","13",".08%"
"Oglethorpe County","19",".13%","95.00%","1",".05%","5.00%","20",".12%"
"Paulding County","81",".54%","90.00%","9",".47%","10.00%","90",".53%"
"Peach County","31",".21%","96.88%","1",".05%","3.13%","32",".19%"
"Pickens County","23",".15%","88.46%","3",".16%","11.54%","26",".15%"
"Pierce County","24",".16%","96.00%","1",".05%","4.00%","25",".15%"
"Pike County","16",".11%","84.21%","3",".16%","15.79%","19",".11%"
"Polk County","56",".37%","90.32%","6",".31%","9.68%","62",".37%"
"Pulaski County","22",".15%","95.65%","1",".05%","4.35%","23",".14%"
"Putnam County","44",".29%","88.00%","6",".31%","12.00%","50",".30%"
"Quitman County","5",".03%","100.00%","","","","5",".03%"
"Rabun County","17",".11%","80.95%","4",".21%","19.05%","21",".12%"
"Randolph County","17",".11%","89.47%","2",".10%","10.53%","19",".11%"
"Richmond County","553","3.69%","91.71%","50","2.58%","8.29%","603","3.56%"
"Rockdale County","157","1.05%","85.33%","27","1.40%","14.67%","184","1.09%"
"Schley County","5",".03%","100.00%","","","","5",".03%"
"Screven County","28",".19%","84.85%","5",".26%","15.15%","33",".19%"
"Seminole County","22",".15%","81.48%","5",".26%","18.52%","27",".16%"
"Spalding County","194","1.29%","88.99%","24","1.24%","11.01%","218","1.29%"
"Stephens County","57",".38%","86.36%","9",".47%","13.64%","66",".39%"
"Stewart County","6",".04%","100.00%","","","","6",".04%"
"Sumter County","66",".44%","91.67%","6",".31%","8.33%","72",".43%"
"Talbot County","8",".05%","100.00%","","","","8",".05%"
"Taliaferro County","6",".04%","100.00%","","","","6",".04%"
