"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"077 
Irwin County","24",".19%","88.89%","3",".17%","11.11%","27",".19%"
"078 
Jackson County","76",".59%","85.39%","13",".76%","14.61%","89",".61%"
"079 
Jasper County","12",".09%","92.31%","1",".06%","7.69%","13",".09%"
"080 
Jeff Davis County","20",".16%","76.92%","6",".35%","23.08%","26",".18%"
"081 
Jefferson County","19",".15%","90.48%","2",".12%","9.52%","21",".14%"
"082 
Jenkins County","32",".25%","96.97%","1",".06%","3.03%","33",".23%"
"083 
Johnson County","11",".09%","100.00%","","","","11",".08%"
"084 
Jones County","46",".36%","92.00%","4",".23%","8.00%","50",".34%"
"085 
Lamar County","28",".22%","82.35%","6",".35%","17.65%","34",".23%"
"086 
Lanier County","9",".07%","90.00%","1",".06%","10.00%","10",".07%"
"087 
Laurens County","67",".52%","91.78%","6",".35%","8.22%","73",".50%"
"088 
Lee County","7",".05%","100.00%","","","","7",".05%"
"089 
Liberty County","83",".65%","91.21%","8",".47%","8.79%","91",".63%"
"090 
Lincoln County","4",".03%","100.00%","","","","4",".03%"
"091 
Long County","25",".19%","89.29%","3",".17%","10.71%","28",".19%"
"092 
Lowndes County","127",".99%","88.81%","16",".93%","11.19%","143",".98%"
"093 
Lumpkin County","20",".16%","86.96%","3",".17%","13.04%","23",".16%"
"094 
Macon County","11",".09%","91.67%","1",".06%","8.33%","12",".08%"
"095 
Madison County","34",".27%","89.47%","4",".23%","10.53%","38",".26%"
"096 
Marion County","11",".09%","91.67%","1",".06%","8.33%","12",".08%"
"097 
Mcduffie County","28",".22%","90.32%","3",".17%","9.68%","31",".21%"
"098 
Mcintosh County","35",".27%","94.59%","2",".12%","5.41%","37",".25%"
"099 
Meriwether County","54",".42%","100.00%","","","","54",".37%"
"100 
Miller County","12",".09%","92.31%","1",".06%","7.69%","13",".09%"
"101 
Mitchell County","40",".31%","95.24%","2",".12%","4.76%","42",".29%"
"102 
Monroe County","68",".53%","82.93%","14",".81%","17.07%","82",".56%"
"103 
Montgomery County","12",".09%","75.00%","4",".23%","25.00%","16",".11%"
"104 
Morgan County","35",".27%","87.50%","5",".29%","12.50%","40",".28%"
"105 
Murray County","121",".94%","84.03%","23","1.34%","15.97%","144",".99%"
"106 
Muscogee County","308","2.40%","92.77%","24","1.40%","7.23%","332","2.28%"
"107 
Newton County","220","1.72%","88.35%","29","1.69%","11.65%","249","1.71%"
"108 
Oconee County","13",".10%","68.42%","6",".35%","31.58%","19",".13%"
"109 
Oglethorpe County","13",".10%","76.47%","4",".23%","23.53%","17",".12%"
"110 
Paulding County","72",".56%","86.75%","11",".64%","13.25%","83",".57%"
"111 
Peach County","18",".14%","94.74%","1",".06%","5.26%","19",".13%"
"112 
Pickens County","32",".25%","91.43%","3",".17%","8.57%","35",".24%"
"113 
Pierce County","32",".25%","94.12%","2",".12%","5.88%","34",".23%"
"114 
Pike County","7",".05%","77.78%","2",".12%","22.22%","9",".06%"
