"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"114
Pike County","15",".09%","88.24%","2",".09%","11.76%","17",".09%"
"115
Polk County","62",".35%","92.54%","5",".23%","7.46%","67",".34%"
"116
Pulaski County","17",".10%","94.44%","1",".05%","5.56%","18",".09%"
"117
Putnam County","56",".32%","84.85%","10",".46%","15.15%","66",".33%"
"118
Quitman County","9",".05%","100.00%","","","","9",".05%"
"119
Rabun County","19",".11%","95.00%","1",".05%","5.00%","20",".10%"
"120
Randolph County","23",".13%","100.00%","","","","23",".12%"
"121
Richmond County","571","3.24%","92.25%","48","2.22%","7.75%","619","3.13%"
"122
Rockdale County","170",".96%","88.08%","23","1.06%","11.92%","193",".97%"
"123
Schley County","7",".04%","87.50%","1",".05%","12.50%","8",".04%"
"124
Screven County","39",".22%","90.70%","4",".18%","9.30%","43",".22%"
"125
Seminole County","19",".11%","82.61%","4",".18%","17.39%","23",".12%"
"126
Spalding County","173",".98%","89.18%","21",".97%","10.82%","194",".98%"
"127
Stephens County","76",".43%","86.36%","12",".55%","13.64%","88",".44%"
"128
Stewart County","6",".03%","100.00%","","","","6",".03%"
"129
Sumter County","79",".45%","89.77%","9",".42%","10.23%","88",".44%"
"130
Talbot County","23",".13%","88.46%","3",".14%","11.54%","26",".13%"
"131
Taliaferro County","9",".05%","81.82%","2",".09%","18.18%","11",".06%"
"132
Tattnall County","56",".32%","78.87%","15",".69%","21.13%","71",".36%"
"133
Taylor County","29",".16%","82.86%","6",".28%","17.14%","35",".18%"
"134
Telfair County","29",".16%","90.63%","3",".14%","9.38%","32",".16%"
"135
Terrell County","19",".11%","95.00%","1",".05%","5.00%","20",".10%"
"136
Thomas County","52",".29%","82.54%","11",".51%","17.46%","63",".32%"
"137
Tift County","81",".46%","94.19%","5",".23%","5.81%","86",".43%"
"138
Toombs County","76",".43%","80.85%","18",".83%","19.15%","94",".47%"
"139
Towns County","14",".08%","87.50%","2",".09%","12.50%","16",".08%"
"140
Treutlen County","36",".20%","97.30%","1",".05%","2.70%","37",".19%"
"141
Troup County","241","1.37%","88.60%","31","1.43%","11.40%","272","1.37%"
"142
Turner County","13",".07%","92.86%","1",".05%","7.14%","14",".07%"
"143
Twiggs County","23",".13%","95.83%","1",".05%","4.17%","24",".12%"
"144
Union County","41",".23%","87.23%","6",".28%","12.77%","47",".24%"
"145
Upson County","71",".40%","94.67%","4",".18%","5.33%","75",".38%"
"146
Walker County","115",".65%","83.94%","22","1.02%","16.06%","137",".69%"
"147
Walton County","247","1.40%","83.45%","49","2.26%","16.55%","296","1.49%"
"148
Ware County","118",".67%","92.91%","9",".42%","7.09%","127",".64%"
"149
Warren County","13",".07%","86.67%","2",".09%","13.33%","15",".08%"
"150
Washington County","56",".32%","93.33%","4",".18%","6.67%","60",".30%"
"151
Wayne County","43",".24%","86.00%","7",".32%","14.00%","50",".25%"
