"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens","2,006","10.23%","94.18%","124","4.61%","5.82%","2,130","9.55%"
"Twenties","6,927","35.32%","89.95%","774","28.76%","10.05%","7,701","34.53%"
"Thirties","5,376","27.41%","85.08%","943","35.04%","14.92%","6,319","28.33%"
"Forties","4,014","20.47%","85.08%","704","26.16%","14.92%","4,718","21.15%"
"Fifties","1,122","5.72%","89.26%","135","5.02%","10.74%","1,257","5.64%"
"Sixties","143","0.73%","94.08%","9","0.33%","5.92%","152","0.68%"
"Seventy +","24","0.12%","92.31%","2","0.07%","7.69%","26","0.12%"
"Total Reported","19,612","100%","87.93%","2,691","100%","12.07%","22,303","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","19,612","","","2,691","","","22,303",""
