"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","159","0.87%","95.21%","8","0.36%","4.79%","167","0.82%"
"Twenties (20-29)","6,054","33.20%","91.16%","587","26.62%","8.84%","6,641","32.49%"
"Thirties (30-39)","5,645","30.95%","88.58%","728","33.02%","11.42%","6,373","31.18%"
"Forties (40-49)","4,306","23.61%","86.31%","683","30.98%","13.69%","4,989","24.41%"
"Fifties (50-59)","1,696","9.30%","90.26%","183","8.30%","9.74%","1,879","9.19%"
"Sixties (60-69)","315","1.73%","95.74%","14","0.63%","4.26%","329","1.61%"
"Seventy + (70 and above)","62","0.34%","96.88%","2","0.09%","3.13%","64","0.31%"
"Total Reported","18,237","100%","89.21%","2,205","100%","10.79%","20,442","100.0%"
"Not Reported","0","","","0","","","0",""
"Grand Total","18,237","","","2,205","","","20,442",""
