"Prison Sentence In Years","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"0 - 1","3,655","18.64%","87.76%","510","18.95%","12.24%","4,165","18.67%"
"1.1 - 2","3,959","20.19%","84.18%","744","27.65%","15.82%","4,703","21.09%"
"2.1 - 3","2,905","14.81%","86.33%","460","17.09%","13.67%","3,365","15.09%"
"3.1 - 4","1,694","8.64%","88.32%","224","8.32%","11.68%","1,918","8.60%"
"4.1 - 5","2,413","12.30%","87.84%","334","12.41%","12.16%","2,747","12.32%"
"5.1 - 6","775","3.95%","89.08%","95","3.53%","10.92%","870","3.90%"
"6.1 - 7","624","3.18%","89.40%","74","2.75%","10.60%","698","3.13%"
"7.1 - 8","498","2.54%","92.57%","40","1.49%","7.43%","538","2.41%"
"8.1 - 9","187","0.95%","93.50%","13","0.48%","6.50%","200","0.90%"
"9.1 - 10","1,274","6.50%","91.99%","111","4.12%","8.01%","1,385","6.21%"
"10.1 - 12","316","1.61%","95.47%","15","0.56%","4.53%","331","1.48%"
"12.1 - 15","440","2.24%","94.83%","24","0.89%","5.17%","464","2.08%"
"15.1 - 20","292","1.49%","96.37%","11","0.41%","3.63%","303","1.36%"
"20.1 - Over","239","1.22%","96.37%","9","0.33%","3.63%","248","1.11%"
"Life","309","1.58%","91.96%","27","1.00%","8.04%","336","1.51%"
"Life Without Parole","31","0.16%","100.00%","0","","","31","0.14%"
"Death","1","0.01%","100.00%","0","","","1","0.01%"
"Total Reported","19,612","100%","87.93%","2,691","100%","12.07%","22,303","100.0%"
"Not Reported","0","","","0","","","0",""
"Grand Total","19,612","","","2,691","","","22,303",""
