"Prison Sentence In Years","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"0 - 1","353","2.94%","87.16%","52","3.31%","12.84%","405","2.98%"
"1.1 - 2","437","3.64%","88.46%","57","3.63%","11.54%","494","3.64%"
"2.1 - 3","572","4.76%","80.68%","137","8.72%","19.32%","709","5.22%"
"3.1 - 4","405","3.37%","89.40%","48","3.06%","10.60%","453","3.34%"
"4.1 - 5","969","8.07%","85.68%","162","10.31%","14.32%","1,131","8.33%"
"5.1 - 6","536","4.46%","87.15%","79","5.03%","12.85%","615","4.53%"
"6.1 - 7","484","4.03%","86.89%","73","4.65%","13.11%","557","4.10%"
"7.1 - 8","501","4.17%","88.83%","63","4.01%","11.17%","564","4.15%"
"8.1 - 9","597","4.97%","93.28%","43","2.74%","6.72%","640","4.71%"
"9.1 - 10","1,398","11.64%","86.30%","222","14.13%","13.70%","1,620","11.93%"
"10.1 - 12","847","7.05%","89.16%","103","6.56%","10.84%","950","6.99%"
"12.1 - 15","1,533","12.76%","89.81%","174","11.08%","10.19%","1,707","12.57%"
"15.1 - 20","1,891","15.74%","89.41%","224","14.26%","10.59%","2,115","15.57%"
"20.1 - Over","1,303","10.85%","90.99%","129","8.21%","9.01%","1,432","10.54%"
"Life","177","1.47%","97.25%","5","0.32%","2.75%","182","1.34%"
"Life Without Parole","7","0.06%","100.00%","0","","","7","0.05%"
"Death","1","0.01%","100.00%","0","","","1","0.01%"
"Youthful Offenders","1","0.01%","100.00%","0","","","1","0.01%"
"Total Reported","12,012","100%","88.43%","1,571","100.0%","11.57%","13,583","100.0%"
"Not Reported","0","","","0","","","0",""
"Grand Total","12,012","","","1,571","","","13,583",""
