"Prison Sentence In Years","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"0 - 1","311","2.58%","84.97%","55","2.94%","15.03%","366","2.62%"
"1.1 - 2","399","3.3%","88.27%","53","2.83%","11.73%","452","3.24%"
"2.1 - 3","551","4.56%","79.28%","144","7.69%","20.72%","695","4.98%"
"3.1 - 4","433","3.59%","83.27%","87","4.65%","16.73%","520","3.73%"
"4.1 - 5","886","7.34%","83.35%","177","9.46%","16.65%","1,063","7.62%"
"5.1 - 6","487","4.03%","82.4%","104","5.56%","17.6%","591","4.24%"
"6.1 - 7","432","3.58%","88.89%","54","2.88%","11.11%","486","3.48%"
"7.1 - 8","481","3.98%","88.1%","65","3.47%","11.9%","546","3.92%"
"8.1 - 9","574","4.75%","88.58%","74","3.95%","11.42%","648","4.65%"
"9.1 - 10","1,371","11.35%","84.53%","251","13.41%","15.47%","1,622","11.63%"
"10.1 - 12","799","6.62%","86.94%","120","6.41%","13.06%","919","6.59%"
"12.1 - 15","1,376","11.4%","86.87%","208","11.11%","13.13%","1,584","11.36%"
"15.1 - 20","1,831","15.16%","88.16%","246","13.14%","11.84%","2,077","14.89%"
"20.1 - Over","1,694","14.03%","89.44%","200","10.68%","10.56%","1,894","13.58%"
"Life","288","2.39%","92.31%","24","1.28%","7.69%","312","2.24%"
"Life Without Parole","158","1.31%","94.61%","9","0.48%","5.39%","167","1.2%"
"Youthful Offenders","3","0.02%","75.0%","1","0.05%","25.0%","4","0.03%"
"Total Reported","12,074","100.00%","86.58%","1,872","100.00%","13.42%","13,946","100.00%"
