"Prison Sentence In Years","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"0 - 1","540","3.34%","88.38%","71","3.33%","11.62%","611","3.34%"
"1.1 - 2","710","4.39%","88.31%","94","4.40%","11.69%","804","4.39%"
"2.1 - 3","938","5.80%","82.72%","196","9.18%","17.28%","1,134","6.20%"
"3.1 - 4","739","4.57%","85.83%","122","5.72%","14.17%","861","4.70%"
"4.1 - 5","1,492","9.23%","87.10%","221","10.36%","12.90%","1,713","9.36%"
"5.1 - 6","824","5.10%","87.47%","118","5.53%","12.53%","942","5.15%"
"6.1 - 7","751","4.64%","88.35%","99","4.64%","11.65%","850","4.64%"
"7.1 - 8","708","4.38%","89.62%","82","3.84%","10.38%","790","4.32%"
"8.1 - 9","764","4.73%","92.16%","65","3.05%","7.84%","829","4.53%"
"9.1 - 10","1,916","11.85%","87.25%","280","13.12%","12.75%","2,196","12.00%"
"10.1 - 12","1,162","7.19%","88.57%","150","7.03%","11.43%","1,312","7.17%"
"12.1 - 15","1,873","11.58%","88.98%","232","10.87%","11.02%","2,105","11.50%"
"15.1 - 20","2,160","13.36%","89.78%","246","11.53%","10.22%","2,406","13.15%"
"20.1 - Over","1,337","8.27%","90.64%","138","6.47%","9.36%","1,475","8.06%"
"Life","220","1.36%","91.67%","20","0.94%","8.33%","240","1.31%"
"Life Without Parole","16","0.10%","100.00%","","","","16","0.09%"
"Death","17","0.11%","100.00%","","","","17","0.09%"
"Youthful Offenders","2","0.01%","100.00%","","","","2","0.01%"
"Total Reported","16,169","100%","88.34%","2,134","100.0%","11.66%","18,303","100.0%"
