"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","7,549","38.72%","83.41%","1,502","56.11%","16.59%","9,051","40.82%"
"Black","11,909","61.08%","91.05%","1,171","43.74%","8.95%","13,080","58.99%"
"Indian","25",".13%","89.29%","3",".11%","10.71%","28",".13%"
"Asian","14",".07%","93.33%","1",".04%","6.67%","15",".07%"
"Total Reported","19,497","100%","87.93%","2,677","100%","12.07%","22,174","100%"
"Not Reported","115","","","14","","","129",""
"Grand Total","19,612","","","2,691","","","22,303",""
"Non Hispanic","18,824","95.98%","87.71%","2,638","98.03%","12.29%","21,462","96.23%"
"Hispanic","788","4.02%","93.70%","53","1.97%","6.30%","841","3.77%"
"Total Reported","19,612","100%","87.93%","2,691","100%","12.07%","22,303","100%"
