"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","4,860","40.46%","82.61%","1,023","65.12%","17.39%","5,883","43.31%"
"Black","6,685","55.65%","92.74%","523","33.29%","7.26%","7,208","53.07%"
"Other","10",".08%","83.33%","2",".13%","16.67%","12",".09%"
"Asian","39",".32%","86.67%","6",".38%","13.33%","45",".33%"
"Unknown","0","","","1",".06%","100.00%","1",".01%"
"Hispanic","411","3.42%","96.71%","14",".89%","3.29%","425","3.13%"
"Native American","7",".06%","77.78%","2",".13%","22.22%","9",".07%"
"Total Reported","12,012","100%","88.43%","1,571","100%","11.57%","13,583","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","12,012","","","1,571","","","13,583",""
