"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","9,467","70.30%","89.60%","1,099","62.66%","10.40%","10,566","69.42%"
"1 to 1.99 years","1,266","9.40%","84.68%","229","13.06%","15.32%","1,495","9.82%"
"2 to 2.99 years","901","6.69%","86.39%","142","8.10%","13.61%","1,043","6.85%"
"3 to 3.99 years","461","3.42%","88.31%","61","3.48%","11.69%","522","3.43%"
"4 to 4.99 years","543","4.03%","84.45%","100","5.70%","15.55%","643","4.22%"
"5 to 5.99 years","287","2.13%","88.04%","39","2.22%","11.96%","326","2.14%"
"6 to 6.99 years","161","1.20%","85.19%","28","1.60%","14.81%","189","1.24%"
"7 to 7.99 years","126","0.94%","86.90%","19","1.08%","13.10%","145","0.95%"
"8 to 8.99 years","87","0.65%","83.65%","17","0.97%","16.35%","104","0.68%"
"9 to 9.99 years","62","0.46%","91.18%","6","0.34%","8.82%","68","0.45%"
"10 to 10.99 years","47","0.35%","88.68%","6","0.34%","11.32%","53","0.35%"
"11 to 11.99 years","17","0.13%","94.44%","1","0.06%","5.56%","18","0.12%"
"12 to 12.99 years","11","0.08%","84.62%","2","0.11%","15.38%","13","0.09%"
"13 to 13.99 years","11","0.08%","100.00%","","","","11","0.07%"
"14 to 14.99 years","9","0.07%","81.82%","2","0.11%","18.18%","11","0.07%"
"15 to 15.99 years","3","0.02%","60.00%","2","0.11%","40.00%","5","0.03%"
"17 to 17.99 years","1","0.01%","100.00%","","","","1","0.01%"
"18 to 18.99 years","2","0.01%","66.67%","1","0.06%","33.33%","3","0.02%"
"20 to 20.99 years","1","0.01%","100.00%","","","","1","0.01%"
"23 to 23.99 years","1","0.01%","100.00%","","","","1","0.01%"
"25 to 25.99 years","2","0.01%","100.00%","","","","2","0.01%"
"Total Reported","13,466","100%","88.48%","1,754","100%","11.52%","15,220","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","13,466","","","1,754","","","15,220",""
