"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","3,739","19.98%","85.42%","638","28.58%","14.58%","4,377","20.89%"
"1 to 1.99 years","5,137","27.45%","87.05%","760","34.05%","12.88%","5,901","28.17%"
"2 to 2.99 years","4,144","22.15%","90.05%","458","20.52%","9.95%","4,602","21.97%"
"3 to 3.99 years","2,013","10.76%","91.79%","180","8.06%","8.21%","2,193","10.47%"
"4 to 4.99 years","1,019","5.45%","92.72%","79","3.54%","7.19%","1,099","5.25%"
"5 to 5.99 years","694","3.71%","94.55%","40","1.79%","5.45%","734","3.50%"
"6 to 6.99 years","315","1.68%","97.22%","9","0.40%","2.78%","324","1.55%"
"7 to 7.99 years","246","1.31%","93.18%","18","0.81%","6.82%","264","1.26%"
"8 to 8.99 years","181","0.97%","97.31%","5","0.22%","2.69%","186","0.89%"
"9 to 9.99 years","138","0.74%","95.83%","6","0.27%","4.17%","144","0.69%"
"10 to 10.99 years","373","1.99%","96.13%","15","0.67%","3.87%","388","1.85%"
"11 to 11.99 years","88","0.47%","97.78%","2","0.09%","2.22%","90","0.43%"
"12 to 12.99 years","99","0.53%","96.12%","4","0.18%","3.88%","103","0.49%"
"13 to 13.99 years","58","0.31%","98.31%","1","0.04%","1.69%","59","0.28%"
"14 to 14.99 years","62","0.33%","98.41%","1","0.04%","1.59%","63","0.30%"
"15 to 15.99 years","94","0.50%","95.92%","4","0.18%","4.08%","98","0.47%"
"16 to 16.99 years","37","0.20%","97.37%","1","0.04%","2.63%","38","0.18%"
"17 to 17.99 years","32","0.17%","94.12%","2","0.09%","5.88%","34","0.16%"
"18 to 18.99 years","31","0.17%","100.00%","","","","31","0.15%"
"19 to 19.99 years","37","0.20%","97.37%","1","0.04%","2.63%","38","0.18%"
"20 to 20.99 years","67","0.36%","98.53%","1","0.04%","1.47%","68","0.32%"
"21 to 21.99 years","18","0.10%","94.74%","1","0.04%","5.26%","19","0.09%"
"22 to 22.99 years","6","0.03%","85.71%","1","0.04%","14.29%","7","0.03%"
"23 to 23.99 years","11","0.06%","84.62%","2","0.09%","15.38%","13","0.06%"
"24 to 24.99 years","10","0.05%","100.00%","","","","10","0.05%"
"25 to 25.99 years","20","0.11%","95.24%","1","0.04%","4.76%","21","0.10%"
"26 to 26.99 years","9","0.05%","100.00%","","","","9","0.04%"
"27 to 27.99 years","3","0.02%","100.00%","","","","3","0.01%"
"28 to 28.99 years","6","0.03%","85.71%","1","0.04%","14.29%","7","0.03%"
"29 to 29.99 years","5","0.03%","100.00%","","","","5","0.02%"
"Thirty + years","19","0.10%","95.00%","1","0.04%","5.00%","20","0.10%"
"Total Reported","18,711","100%","89.32%","2,232","100%","10.65%","20,948","100%"
"Not Reported","793","","","47","","","840",""
"Grand Total","19,504","","","2,279","","","21,788",""
