"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","11,632","68.92%","89.68%","1,338","62.88%","10.32%","12,970","68.25%"
"1 to 1.99 years","2,107","12.48%","87.83%","292","13.72%","12.17%","2,399","12.62%"
"2 to 2.99 years","1,045","6.19%","85.94%","171","8.04%","14.06%","1,216","6.40%"
"3 to 3.99 years","794","4.70%","87.93%","109","5.12%","12.07%","903","4.75%"
"4 to 4.99 years","506","3.00%","84.62%","92","4.32%","15.38%","598","3.15%"
"5 to 5.99 years","309","1.83%","90.62%","32","1.50%","9.38%","341","1.79%"
"6 to 6.99 years","173","1.03%","81.99%","38","1.79%","18.01%","211","1.11%"
"7 to 7.99 years","113","0.67%","82.48%","24","1.13%","17.52%","137","0.72%"
"8 to 8.99 years","86","0.51%","82.69%","18","0.85%","17.31%","104","0.55%"
"9 to 9.99 years","56","0.33%","88.89%","7","0.33%","11.11%","63","0.33%"
"10 to 10.99 years","26","0.15%","89.66%","3","0.14%","10.34%","29","0.15%"
"11 to 11.99 years","14","0.08%","100.00%","","","","14","0.07%"
"12 to 12.99 years","5","0.03%","71.43%","2","0.09%","28.57%","7","0.04%"
"13 to 13.99 years","4","0.02%","80.00%","1","0.05%","20.00%","5","0.03%"
"14 to 14.99 years","5","0.03%","83.33%","1","0.05%","16.67%","6","0.03%"
"21 to 21.99 years","1","0.01%","100.00%","","","","1","0.01%"
"23 to 23.99 years","1","0.01%","100.00%","","","","1","0.01%"
"Total Reported","16,877","100%","88.80%","2,128","100%","11.20%","19,005","100.0%"
