"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","2,657","22.45%","87.14%","392","26.65%","12.86%","3,049","22.91%"
"1 to 1.99 years","2,646","22.36%","88.11%","357","24.27%","11.89%","3,003","22.57%"
"2 to 2.99 years","1,493","12.62%","90.38%","159","10.81%","9.62%","1,652","12.42%"
"3 to 3.99 years","1,038","8.77%","86.93%","156","10.61%","13.07%","1,194","8.97%"
"4 to 4.99 years","994","8.40%","87.35%","144","9.79%","12.65%","1,138","8.55%"
"5 to 5.99 years","617","5.21%","89.94%","69","4.69%","10.06%","686","5.16%"
"6 to 6.99 years","443","3.74%","91.53%","41","2.79%","8.47%","484","3.64%"
"7 to 7.99 years","292","2.47%","87.95%","40","2.72%","12.05%","332","2.50%"
"8 to 8.99 years","274","2.32%","90.43%","29","1.97%","9.57%","303","2.28%"
"9 to 9.99 years","321","2.71%","91.98%","28","1.90%","8.02%","349","2.62%"
"10 to 10.99 years","175","1.48%","92.11%","15","1.02%","7.89%","190","1.43%"
"11 to 11.99 years","155","1.31%","93.94%","10","0.68%","6.06%","165","1.24%"
"12 to 12.99 years","109","0.92%","95.61%","5","0.34%","4.39%","114","0.86%"
"13 to 13.99 years","72","0.61%","97.30%","2","0.14%","2.70%","74","0.56%"
"14 to 14.99 years","95","0.80%","94.06%","6","0.41%","5.94%","101","0.76%"
"15 to 15.99 years","98","0.83%","98.00%","2","0.14%","2.00%","100","0.75%"
"16 to 16.99 years","32","0.27%","84.21%","6","0.41%","15.79%","38","0.29%"
"17 to 17.99 years","29","0.25%","100.00%","","","","29","0.22%"
"18 to 18.99 years","21","0.18%","87.50%","3","0.20%","12.50%","24","0.18%"
"19 to 19.99 years","33","0.28%","97.06%","1","0.07%","2.94%","34","0.26%"
"20 to 20.99 years","85","0.72%","97.70%","2","0.14%","2.30%","87","0.65%"
"21 to 21.99 years","17","0.14%","100.00%","","","","17","0.13%"
"22 to 22.99 years","5","0.04%","100.00%","","","","5","0.04%"
"23 to 23.99 years","11","0.09%","100.00%","","","","11","0.08%"
"24 to 24.99 years","8","0.07%","88.89%","1","0.07%","11.11%","9","0.07%"
"25 to 25.99 years","15","0.13%","93.75%","1","0.07%","6.25%","16","0.12%"
"26 to 26.99 years","13","0.11%","100.00%","","","","13","0.10%"
"27 to 27.99 years","12","0.10%","85.71%","2","0.14%","14.29%","14","0.11%"
"28 to 28.99 years","10","0.08%","100.00%","","","","10","0.08%"
"29 to 29.99 years","7","0.06%","100.00%","","","","7","0.05%"
"Thirty + years","58","0.49%","100.00%","","","","58","0.44%"
"Total Reported","11,835","100%","88.94%","1,471","100%","11.06%","13,306","100.0%"
