"Age At Admission","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"13","1","0.01%","100.00%","","","","1","0.01%"
"14","3","0.01%","100.00%","","","","3","0.01%"
"15","25","0.05%","100.00%","","","","25","0.05%"
"16","73","0.15%","97.33%","2","0.05%","2.67%","75","0.15%"
"17","425","0.89%","93.82%","28","0.74%","6.18%","453","0.88%"
"18","1,074","2.26%","96.50%","39","1.03%","3.50%","1,113","2.17%"
"19","1,424","3.00%","96.74%","48","1.27%","3.26%","1,472","2.87%"
"20","1,628","3.43%","95.60%","75","1.99%","4.40%","1,703","3.32%"
"21","1,668","3.51%","95.15%","85","2.25%","4.85%","1,753","3.42%"
"22","1,795","3.78%","93.98%","115","3.05%","6.02%","1,910","3.73%"
"23","1,738","3.66%","94.20%","107","2.84%","5.80%","1,845","3.60%"
"24","1,690","3.56%","93.53%","117","3.10%","6.47%","1,807","3.52%"
"25","1,639","3.45%","92.91%","125","3.32%","7.09%","1,764","3.44%"
"26","1,661","3.50%","93.63%","113","3.00%","6.37%","1,774","3.46%"
"27","1,587","3.34%","93.13%","117","3.10%","6.87%","1,704","3.32%"
"28","1,570","3.31%","93.73%","105","2.79%","6.27%","1,675","3.27%"
"29","1,610","3.39%","93.28%","116","3.08%","6.72%","1,726","3.37%"
"30","1,537","3.24%","91.27%","147","3.90%","8.73%","1,684","3.28%"
"31","1,566","3.30%","92.28%","131","3.47%","7.72%","1,697","3.31%"
"32","1,571","3.31%","90.08%","173","4.59%","9.92%","1,744","3.40%"
"33","1,496","3.15%","91.33%","142","3.77%","8.67%","1,638","3.20%"
"34","1,439","3.03%","90.79%","146","3.87%","9.21%","1,585","3.09%"
"35","1,379","2.90%","91.93%","121","3.21%","8.07%","1,500","2.93%"
"36","1,321","2.78%","91.23%","127","3.37%","8.77%","1,448","2.82%"
"37","1,253","2.64%","90.80%","127","3.37%","9.20%","1,380","2.69%"
"38","1,181","2.49%","91.27%","113","3.00%","8.73%","1,294","2.52%"
"39","1,178","2.48%","91.67%","107","2.84%","8.33%","1,285","2.51%"
"40","1,109","2.33%","91.20%","107","2.84%","8.80%","1,216","2.37%"
"41","1,145","2.41%","90.66%","118","3.13%","9.34%","1,263","2.46%"
"42","971","2.04%","92.21%","82","2.18%","7.79%","1,053","2.05%"
"43","919","1.93%","91.08%","90","2.39%","8.92%","1,009","1.97%"
"44","839","1.77%","90.80%","85","2.25%","9.20%","924","1.80%"
"45","821","1.73%","89.92%","92","2.44%","10.08%","913","1.78%"
"46","755","1.59%","92.41%","62","1.64%","7.59%","817","1.59%"
"47","660","1.39%","90.66%","68","1.80%","9.34%","728","1.42%"
"48","619","1.30%","90.63%","64","1.70%","9.37%","683","1.33%"
"49","579","1.22%","92.20%","49","1.30%","7.80%","628","1.23%"
"50","547","1.15%","90.12%","60","1.59%","9.88%","607","1.18%"
"51","493","1.04%","92.15%","42","1.11%","7.85%","535","1.04%"
"52","493","1.04%","91.47%","46","1.22%","8.53%","539","1.05%"
"53","472","0.99%","92.55%","38","1.01%","7.45%","510","0.99%"
"54","386","0.81%","92.34%","32","0.85%","7.66%","418","0.82%"
"55","395","0.83%","93.60%","27","0.72%","6.40%","422","0.82%"
"56","340","0.72%","91.89%","30","0.80%","8.11%","370","0.72%"
"57","336","0.71%","94.38%","20","0.53%","5.62%","356","0.69%"
"58","321","0.68%","93.86%","21","0.56%","6.14%","342","0.67%"
"59","261","0.55%","92.88%","20","0.53%","7.12%","281","0.55%"
"60","242","0.51%","94.16%","15","0.40%","5.84%","257","0.50%"
"61","216","0.45%","92.70%","17","0.45%","7.30%","233","0.45%"
"62","191","0.40%","93.63%","13","0.34%","6.37%","204","0.40%"
"63","124","0.26%","90.51%","13","0.34%","9.49%","137","0.27%"
"64","118","0.25%","93.65%","8","0.21%","6.35%","126","0.25%"
"65","114","0.24%","95.80%","5","0.13%","4.20%","119","0.23%"
"66","93","0.20%","94.90%","5","0.13%","5.10%","98","0.19%"
"67","68","0.14%","94.44%","4","0.11%","5.56%","72","0.14%"
"68","72","0.15%","94.74%","4","0.11%","5.26%","76","0.15%"
"69","50","0.11%","96.15%","2","0.05%","3.85%","52","0.10%"
"70","41","0.09%","97.62%","1","0.03%","2.38%","42","0.08%"
"71","34","0.07%","97.14%","1","0.03%","2.86%","35","0.07%"
"72","27","0.06%","96.43%","1","0.03%","3.57%","28","0.05%"
"73","16","0.03%","100.00%","","","","16","0.03%"
"74","20","0.04%","95.24%","1","0.03%","4.76%","21","0.04%"
"75","15","0.03%","100.00%","","","","15","0.03%"
"76","11","0.02%","91.67%","1","0.03%","8.33%","12","0.02%"
"77","7","0.01%","100.00%","","","","7","0.01%"
"78","6","0.01%","100.00%","","","","6","0.01%"
"79","4","0.01%","100.00%","","","","4","0.01%"
"80","7","0.01%","100.00%","","","","7","0.01%"
"81","13","0.03%","100.00%","","","","13","0.03%"
"82","4","0.01%","100.00%","","","","4","0.01%"
"83","4","0.01%","100.00%","","","","4","0.01%"
"84","1","0.01%","100.00%","","","","1","0.01%"
"86","2","0.01%","100.00%","","","","2","0.01%"
"87","1","0.01%","100.00%","","","","1","0.01%"
"90","1","0.01%","100.00%","","","","1","0.01%"
"Total Reported","47,495","100%","92.65%","3,770","100%","7.35%","51,265","100%"
"Not Reported","1",,,"0",,,"1",
"Grand Total","47,496",,,"3,770",,,"51,266",
