"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Unknown","1,551","3.02%","88.07%","210","5.61%","11.93%","1,761","3.20%"
"Appling County","95",".19%","97.94%","2",".05%","2.06%","97",".18%"
"Atkinson County","44",".09%","89.80%","5",".13%","10.20%","49",".09%"
"Bacon County","55",".11%","98.21%","1",".03%","1.79%","56",".10%"
"Baker County","14",".03%","100.00%","","","","14",".03%"
"Baldwin County","292",".57%","93.89%","19",".51%","6.11%","311",".56%"
"Banks County","66",".13%","92.96%","5",".13%","7.04%","71",".13%"
"Barrow County","243",".47%","92.40%","20",".53%","7.60%","263",".48%"
"Bartow County","564","1.10%","90.10%","62","1.66%","9.90%","626","1.14%"
"Ben Hill County","220",".43%","94.42%","13",".35%","5.58%","233",".42%"
"Berrien County","75",".15%","93.75%","5",".13%","6.25%","80",".15%"
"Bibb County","1,074","2.09%","95.38%","52","1.39%","4.62%","1,126","2.04%"
"Bleckley County","67",".13%","93.06%","5",".13%","6.94%","72",".13%"
"Brantley County","62",".12%","92.54%","5",".13%","7.46%","67",".12%"
"Brooks County","59",".11%","95.16%","3",".08%","4.84%","62",".11%"
"Bryan County","104",".20%","98.11%","2",".05%","1.89%","106",".19%"
"Bulloch County","478",".93%","93.00%","36",".96%","7.00%","514",".93%"
"Burke County","225",".44%","97.40%","6",".16%","2.60%","231",".42%"
"Butts County","170",".33%","97.14%","5",".13%","2.86%","175",".32%"
"Calhoun County","41",".08%","83.67%","8",".21%","16.33%","49",".09%"
"Camden County","164",".32%","94.80%","9",".24%","5.20%","173",".31%"
"Candler County","96",".19%","90.57%","10",".27%","9.43%","106",".19%"
"Carroll County","615","1.20%","90.31%","66","1.76%","9.69%","681","1.24%"
"Catoosa County","320",".62%","90.65%","33",".88%","9.35%","353",".64%"
"Charlton County","50",".10%","89.29%","6",".16%","10.71%","56",".10%"
"Chatham County","2,515","4.90%","95.23%","126","3.37%","4.77%","2,641","4.80%"
"Chattahoochee County","28",".05%","96.55%","1",".03%","3.45%","29",".05%"
"Chattooga County","261",".51%","89.69%","30",".80%","10.31%","291",".53%"
"Cherokee County","562","1.09%","92.28%","47","1.26%","7.72%","609","1.11%"
"Clarke County","474",".92%","94.23%","29",".77%","5.77%","503",".91%"
"Clay County","33",".06%","91.67%","3",".08%","8.33%","36",".07%"
"Clayton County","1,455","2.83%","93.15%","107","2.86%","6.85%","1,562","2.84%"
"Clinch County","62",".12%","96.88%","2",".05%","3.13%","64",".12%"
"Cobb County","2,492","4.85%","91.55%","230","6.15%","8.45%","2,722","4.94%"
"Coffee County","234",".46%","94.74%","13",".35%","5.26%","247",".45%"
"Colquitt County","281",".55%","95.25%","14",".37%","4.75%","295",".54%"
"Columbia County","316",".62%","92.40%","26",".69%","7.60%","342",".62%"
"Cook County","121",".24%","96.03%","5",".13%","3.97%","126",".23%"
"Coweta County","538","1.05%","92.76%","42","1.12%","7.24%","580","1.05%"
"Crawford County","17",".03%","94.44%","1",".03%","5.56%","18",".03%"
"Crisp County","260",".51%","92.86%","20",".53%","7.14%","280",".51%"
"Dade County","139",".27%","92.67%","11",".29%","7.33%","150",".27%"
"Dawson County","127",".25%","92.03%","11",".29%","7.97%","138",".25%"
"Decatur County","303",".59%","92.38%","25",".67%","7.62%","328",".60%"
"Dekalb County","2,873","5.60%","94.32%","173","4.62%","5.68%","3,046","5.53%"
"Dodge County","147",".29%","93.04%","11",".29%","6.96%","158",".29%"
"Dooly County","94",".18%","94.95%","5",".13%","5.05%","99",".18%"
"Dougherty County","956","1.86%","94.65%","54","1.44%","5.35%","1,010","1.83%"
"Douglas County","1,206","2.35%","88.68%","154","4.12%","11.32%","1,360","2.47%"
"Early County","94",".18%","95.92%","4",".11%","4.08%","98",".18%"
"Echols County","10",".02%","100.00%","","","","10",".02%"
"Effingham County","151",".29%","92.07%","13",".35%","7.93%","164",".30%"
"Elbert County","123",".24%","93.89%","8",".21%","6.11%","131",".24%"
"Emanuel County","177",".34%","93.16%","13",".35%","6.84%","190",".34%"
"Evans County","101",".20%","97.12%","3",".08%","2.88%","104",".19%"
"Fannin County","109",".21%","93.16%","8",".21%","6.84%","117",".21%"
"Fayette County","370",".72%","93.67%","25",".67%","6.33%","395",".72%"
"Floyd County","713","1.39%","91.06%","70","1.87%","8.94%","783","1.42%"
"Forsyth County","288",".56%","85.46%","49","1.31%","14.54%","337",".61%"
"Franklin County","133",".26%","91.10%","13",".35%","8.90%","146",".27%"
"Fulton County","5,071","9.88%","96.28%","196","5.24%","3.72%","5,267","9.56%"
"Gilmer County","128",".25%","89.51%","15",".40%","10.49%","143",".26%"
"Glascock County","6",".01%","85.71%","1",".03%","14.29%","7",".01%"
"Glynn County","397",".77%","93.19%","29",".77%","6.81%","426",".77%"
"Gordon County","292",".57%","90.12%","32",".86%","9.88%","324",".59%"
"Grady County","200",".39%","94.34%","12",".32%","5.66%","212",".38%"
"Greene County","156",".30%","95.71%","7",".19%","4.29%","163",".30%"
"Gwinnett County","2,286","4.45%","92.89%","175","4.68%","7.11%","2,461","4.47%"
"Habersham County","103",".20%","95.37%","5",".13%","4.63%","108",".20%"
"Hall County","673","1.31%","91.94%","59","1.58%","8.06%","732","1.33%"
"Hancock County","38",".07%","100.00%","","","","38",".07%"
"Haralson County","91",".18%","97.85%","2",".05%","2.15%","93",".17%"
"Harris County","127",".25%","95.49%","6",".16%","4.51%","133",".24%"
"Hart County","117",".23%","95.12%","6",".16%","4.88%","123",".22%"
"Heard County","63",".12%","95.45%","3",".08%","4.55%","66",".12%"
"Henry County","565","1.10%","89.83%","64","1.71%","10.17%","629","1.14%"
"Houston County","635","1.24%","94.21%","39","1.04%","5.79%","674","1.22%"
"Irwin County","78",".15%","97.50%","2",".05%","2.50%","80",".15%"
"Jackson County","212",".41%","93.81%","14",".37%","6.19%","226",".41%"
"Jasper County","63",".12%","90.00%","7",".19%","10.00%","70",".13%"
"Jeff Davis County","61",".12%","85.92%","10",".27%","14.08%","71",".13%"
"Jefferson County","149",".29%","94.90%","8",".21%","5.10%","157",".29%"
"Jenkins County","59",".11%","93.65%","4",".11%","6.35%","63",".11%"
"Johnson County","54",".11%","93.10%","4",".11%","6.90%","58",".11%"
"Jones County","194",".38%","90.65%","20",".53%","9.35%","214",".39%"
"Lamar County","83",".16%","93.26%","6",".16%","6.74%","89",".16%"
"Lanier County","42",".08%","95.45%","2",".05%","4.55%","44",".08%"
"Laurens County","296",".58%","93.97%","19",".51%","6.03%","315",".57%"
"Lee County","68",".13%","94.44%","4",".11%","5.56%","72",".13%"
"Liberty County","302",".59%","92.92%","23",".61%","7.08%","325",".59%"
"Lincoln County","23",".04%","100.00%","","","","23",".04%"
"Long County","79",".15%","96.34%","3",".08%","3.66%","82",".15%"
"Lowndes County","533","1.04%","93.84%","35",".94%","6.16%","568","1.03%"
"Lumpkin County","99",".19%","87.61%","14",".37%","12.39%","113",".21%"
"Macon County","69",".13%","97.18%","2",".05%","2.82%","71",".13%"
"Madison County","117",".23%","95.12%","6",".16%","4.88%","123",".22%"
"Marion County","39",".08%","95.12%","2",".05%","4.88%","41",".07%"
"Mcduffie County","185",".36%","93.91%","12",".32%","6.09%","197",".36%"
"Mcintosh County","65",".13%","100.00%","","","","65",".12%"
"Meriwether County","223",".43%","96.54%","8",".21%","3.46%","231",".42%"
"Miller County","34",".07%","100.00%","","","","34",".06%"
"Mitchell County","207",".40%","93.67%","14",".37%","6.33%","221",".40%"
"Monroe County","170",".33%","91.89%","15",".40%","8.11%","185",".34%"
