"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Pike County","34",".07%","91.89%","3",".08%","8.11%","37",".07%"
"Polk County","203",".42%","91.44%","19",".50%","8.56%","222",".43%"
"Pulaski County","45",".09%","100.00%","","","","45",".09%"
"Putnam County","146",".30%","92.41%","12",".31%","7.59%","158",".31%"
"Quitman County","13",".03%","100.00%","","","","13",".03%"
"Rabun County","56",".12%","87.50%","8",".21%","12.50%","64",".12%"
"Randolph County","43",".09%","100.00%","","","","43",".08%"
"Richmond County","1,642","3.43%","94.59%","94","2.45%","5.41%","1,736","3.35%"
"Rockdale County","434",".91%","92.14%","37",".96%","7.86%","471",".91%"
"Schley County","21",".04%","95.45%","1",".03%","4.55%","22",".04%"
"Screven County","92",".19%","92.93%","7",".18%","7.07%","99",".19%"
"Seminole County","62",".13%","89.86%","7",".18%","10.14%","69",".13%"
"Spalding County","477",".99%","89.83%","54","1.41%","10.17%","531","1.03%"
"Stephens County","117",".24%","93.60%","8",".21%","6.40%","125",".24%"
"Stewart County","27",".06%","90.00%","3",".08%","10.00%","30",".06%"
"Sumter County","198",".41%","96.12%","8",".21%","3.88%","206",".40%"
"Talbot County","27",".06%","93.10%","2",".05%","6.90%","29",".06%"
"Taliaferro County","17",".04%","85.00%","3",".08%","15.00%","20",".04%"
"Tattnall County","224",".47%","89.60%","26",".68%","10.40%","250",".48%"
"Taylor County","48",".10%","92.31%","4",".10%","7.69%","52",".10%"
"Telfair County","105",".22%","91.30%","10",".26%","8.70%","115",".22%"
"Terrell County","50",".10%","94.34%","3",".08%","5.66%","53",".10%"
"Thomas County","231",".48%","95.85%","10",".26%","4.15%","241",".47%"
"Tift County","328",".68%","94.80%","18",".47%","5.20%","346",".67%"
"Toombs County","287",".60%","95.67%","13",".34%","4.33%","300",".58%"
"Towns County","56",".12%","80.00%","14",".36%","20.00%","70",".14%"
"Treutlen County","56",".12%","93.33%","4",".10%","6.67%","60",".12%"
"Troup County","587","1.22%","92.59%","47","1.23%","7.41%","634","1.22%"
"Turner County","59",".12%","95.16%","3",".08%","4.84%","62",".12%"
"Twiggs County","45",".09%","91.84%","4",".10%","8.16%","49",".09%"
"Union County","81",".17%","91.01%","8",".21%","8.99%","89",".17%"
"Upson County","198",".41%","91.24%","19",".50%","8.76%","217",".42%"
"Walker County","396",".83%","90.83%","40","1.04%","9.17%","436",".84%"
"Walton County","659","1.37%","91.27%","63","1.64%","8.73%","722","1.39%"
"Ware County","262",".55%","89.42%","31",".81%","10.58%","293",".57%"
"Warren County","27",".06%","93.10%","2",".05%","6.90%","29",".06%"
"Washington County","179",".37%","94.21%","11",".29%","5.79%","190",".37%"
"Wayne County","195",".41%","90.70%","20",".52%","9.30%","215",".42%"
