"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","385","0.86%","95.53%","18","0.57%","4.47%","403","0.84%"
"Twenties (20-29)","10,894","24.41%","93.53%","753","23.79%","6.47%","11,647","24.37%"
"Thirties (30-39)","13,676","30.64%","92.40%","1,125","35.55%","7.60%","14,801","30.96%"
"Forties (40-49)","10,025","22.46%","93.05%","749","23.67%","6.95%","10,774","22.54%"
"Fifties (50-59)","6,324","14.17%","94.28%","384","12.13%","5.72%","6,708","14.03%"
"Sixties (60-69)","2,654","5.95%","95.74%","118","3.73%","4.26%","2,772","5.80%"
"Seventy + (70 and above)","679","1.52%","97.42%","18","0.57%","2.58%","697","1.46%"
"Total Reported","44,637","100%","93.38%","3,165","100%","6.62%","47,802","100%"
"Not Reported","335","","","1","","","336",""
"Grand Total","44,972","","","3,166","","","48,138",""
