"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","412","0.86%","93.21%","30","0.79%","6.79%","442","0.85%"
"1.1 - 2","552","1.15%","90.49%","58","1.53%","9.51%","610","1.18%"
"2.1 - 3","797","1.66%","85.98%","130","3.42%","14.02%","927","1.79%"
"3.1 - 4","700","1.46%","88.83%","88","2.31%","11.17%","788","1.52%"
"4.1 - 5","1,468","3.06%","90.79%","149","3.92%","9.21%","1,617","3.13%"
"5.1 - 6","804","1.68%","88.74%","102","2.68%","11.26%","906","1.75%"
"6.1 - 7","856","1.79%","90.39%","91","2.39%","9.61%","947","1.83%"
"7.1 - 8","967","2.02%","92.62%","77","2.02%","7.38%","1,044","2.02%"
"8.1 - 9","1,112","2.32%","92.90%","85","2.24%","7.10%","1,197","2.32%"
"9.1 - 10","2,907","6.07%","89.31%","348","9.15%","10.69%","3,255","6.30%"
"10.1 - 12","1,743","3.64%","92.12%","149","3.92%","7.88%","1,892","3.66%"
"12.1 - 15","4,221","8.81%","90.83%","426","11.20%","9.17%","4,647","8.99%"
"15.1 - 20","8,723","18.21%","92.33%","725","19.06%","7.67%","9,448","18.27%"
"20.1 - Over","12,958","27.05%","93.84%","851","22.38%","6.16%","13,809","26.71%"
"Life","7,541","15.74%","94.77%","416","10.94%","5.23%","7,957","15.39%"
"Life Without Parole","2,063","4.31%","96.45%","76","2.00%","3.55%","2,139","4.14%"
"Death","33","0.07%","97.06%","1","0.03%","2.94%","34","0.07%"
"Youthful Offenders","44","0.09%","97.78%","1","0.03%","2.22%","45","0.09%"
"Total Reported","47,901","100%","92.64%","3,803","100.0%","7.36%","51,704","100.0%"
"Not Reported","0","","","0","","","0",""
"Grand Total","47,901","","","3,803","","","51,704",""
