"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","15,659","31.82%","89.34%","1,869","52.10%","10.66%","17,528","33.20%"
"Black","31,135","63.27%","95.03%","1,630","45.44%","4.97%","32,765","62.05%"
"Other","49",".10%","92.45%","4",".11%","7.55%","53",".10%"
"Asian","119",".24%","97.54%","3",".08%","2.46%","122",".23%"
"Hispanic","2,222","4.52%","96.69%","76","2.12%","3.31%","2,298","4.35%"
"Native American","29",".06%","87.88%","4",".11%","12.12%","33",".06%"
"Native Hawaiian","0","0%","0%","1",".03%","100.00%","1",".01%"
"Total Reported","49,213","100%","93.21%","3,587","100%","6.79%","52,800","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,213","","","3,587","","","52,800",""
